building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,20897.73147918231,,,,4.781795459084362e-05,1.6390090799122615e-10,2.931951726529268e-07,,,,,,,,,5.5588067886205075e-11,1.687586046398201e-13,1.3800690322572258e-09,-8.795855179587811e-08,4.8112749490263285e-05,4.8024790938467403e-05
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,8081.57421875,9.701445651229718e-05,1.184910352805561e-07,2.9859092818937683e-05,0.00013305965213740158,1.3873226697742306e-09,8.308223657524411e-08,,,,,,,,2.687823826704613e-10,5.354084774890898e-08,1.9605278594725013e-06,1.0019490364133797e-09,-3.898890167593385e-05,0.00013515946113528708,9.617055945935324e-05
ground_floors,0,,,,,,,,,,,,,,,,,,,0,0
windows,6053.173188321298,,,,0.00039329884610139163,,,,,,,,,,,4.0682526134490497e-13,2.4045490686834504e-11,5.5047030335819176e-12,-3.7055684738523983e-10,0.0003932988760584106,0.00039329850550156323
inner_walls,39413.56099446615,,,,1.3033077529385925e-05,5.6440474511804306e-08,1.5144651764702485e-07,,,,,,,,9.831318639357903e-09,9.056446170868282e-08,1.1525442446944694e-07,2.3807634702837932e-08,-1.121568381823723e-06,1.3480422361065079e-05,1.2358853979241356e-05
floors,10836.93505859375,,,,0.00010943507818737952,1.8807370750968775e-09,8.786228026218665e-08,,,,,,,,1.0559509521093746e-09,4.124190701378914e-09,2.2742670154231847e-08,6.722585651220119e-09,-2.5358490457855296e-07,0.00010955946660217575,0.0001093058816975972
ceilings,10836.93505859375,,,,0.00010943507818737954,1.880737075096877e-09,8.786228026218665e-08,,,,,,,,1.0559509521093746e-09,4.124190701378914e-09,2.2742670154231847e-08,6.722585651220121e-09,-2.5358490457855296e-07,0.00010955946660217577,0.00010930588169759723
