building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,20897.73147918231,,,,1917687.6285625007,3941.312156973772,7786.494749143305,,,,,,,,,3701.600910223012,27.26882110926526,251585.14417438686,-116653.22688994383,2184729.449374337,2068076.2224843933
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,8081.57421875,-35674.61582520771,59.28368681186498,7680.502302522599,55954.156972129036,1621.6052003982475,3307.0181332954667,,,,,,,,56.54414282615788,893.370780294642,37094.34833847978,64678.378038682116,-37415.64038456614,163605.42160610546,126189.78122153932
ground_floors,0,,,,,,,,,,,,,,,,,,,0,0
windows,6053.173188321298,,,,440001.88278656604,,,,,,,,,,,2217.623218086674,25834.701384482036,990.8851724576116,-161466.46743465148,469045.09256159235,307578.6251269409
inner_walls,39413.56099446615,,,,1368034.4419307641,23585.088222432005,43649.91182741886,,,,,,,,2068.228876424846,23506.523011890302,-59487.74445989979,23180.22921516316,-41233.29629142259,1424536.6786241936,1383303.382332771
floors,10836.93505859375,,,,721102.6631208988,23550.74057385549,6894.978257160154,-17339.096093749984,,,,,,,5375.1197890624935,21158.03200839843,15018.573788868027,93658.23968220259,-70347.53912500695,869419.251126696,799071.712001689
ceilings,10836.93505859375,,,,721102.6631208988,23550.74057385549,6894.978257160154,-17339.096093749984,,,,,,,5375.1197890624935,21158.03200839843,15018.573788868029,93658.23968220259,-70347.53912500695,869419.251126696,799071.712001689
