buildingelement,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d,area
outer_walls,,,,19208.689974847177,39.4785064,77.99412240000002,,,,,,,,,37.07741721647582,0.2731405901909506,2520.025141083882,-1168.4675004,20715.07080213772,20715.07080213772,209.324
doors,2.408
rooftops,121.3202
ground_floors,-3668.9194892581154,25.20454436445283,287.17691694672675,1788.9291968650648,144.18568025984,63.475808653841554,-158.64454400000002,,,,,,,49.179808640000005,195.13064403636258,3834.192763475634,573.9504406506763,-2228.037760721578,4262.362037859842,4262.362037859842,99.15284000000001
windows,,,,2808.0810189107274,,,,,,,,,,0.0,14.152815952439003,164.87641854519254,6.323804405282564,-1030.474959612278,1962.9590982013635,1962.9590982013635,38.6312
inner_walls,,,,12437.656718221555,214.4267877975149,396.84864828684726,0.0,0.0,0.0,0.0,0.0,,,18.80356224319913,213.71250233162164,-540.8402901679025,210.7459613523974,-374.8776850308183,12576.476205034414,12576.476205034414,91.23127232538447
floors,,,,7630.057599999999,249.19268266666663,72.95643733333333,-183.46666666666664,,,,,,,56.87466666666666,223.87519999999995,158.91299386270714,991.006967575157,-744.3541717333331,8455.05570970453,8455.05570970453,114.66666666666666
ceilings,,,,7630.057599999999,249.19268266666663,72.95643733333333,-183.46666666666664,,,,,,,56.87466666666666,223.87519999999995,158.91299386270714,991.006967575157,-744.3541717333331,8455.05570970453,8455.05570970453,114.66666666666666
