building type,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
type1,-1520.4525249648643,10.44512239413308,119.01020716362672,40207.78484914503,659.667036290536,574.7644989066483,-332.94456,0.0,0.0,0.0,0.0,5173.491932794663,,121.46976066171078,652.8828529559948,1428.5142436398514,3729.1268967913566,-4055.286432186489,48159.4710789993,48159.4710789993
type2,,,,,,,,,,,,,,,,,,,0,0
type3,,,,,,,,,,,,,,,,,,,0,0
type4,,,,,,,,,,,,,,,,,,,0,0
