,DENW22AL500001kE,DENW22AL500004Jb,DENW22AL500004f1,DENW22AL500005uS,DENW22AL500007ob,DENW22AL500004GF,DENW22AL500002aX,DENW22AL500001hd,DENW22AL500001we,DENW22AL5000068N,DENW22AL500005Zn,DENW22AL500001iI,DENW22AL500002BQ,DENW22AL5000073u,DENW22AL50000410,DENW22AL500005TX,DENW22AL500005XX,DENW22AL500004bI,DENW22AL500006Wm,DENW22AL500005me,DENW22AL500004CU,DENW22AL500004Wb,DENW22AL500004OX,DENW22AL500003NE,DENW22AL500002YL,DENW22AL500004ep,DENW22AL500002f4,DENW22AL500002jG,DENW22AL500002dC,DENW22AL500003px,DENW22AL500007Sg,DENW22AL5000057K,DENW22AL500007ZP,DENW22AL500006cd,DENW22AL500007Kk,DENW22AL500006aD,DENW22AL50000634,DENW22AL500004qQ,DENW22AL500002OO,DENW22AL500004H8,DENW22AL5000041y,DENW22AL500006iK,DENW22AL5000040G,DENW22AL500006C2,DENW22AL500005Bb,DENW22AL500002xT,DENW22AL500005eo,DENW22AL500001oX,DENW22AL500006cn,DENW22AL500004O7,DENW22AL500003Ow,DENW22AL500005OP,DENW22AL50000420,DENW22AL500006lM,DENW22AL500002CN,DENW22AL5000074e,DENW22AL500005Ad,DENW22AL500002Gn,DENW22AL500003aZ,DENW22AL500003vH,DENW22AL500005Pf,DENW22AL500006Mm,DENW22AL500002YB,DENW22AL50000382,DENW22AL500002ME,DENW22AL500002ZE,DENW22AL500003S8,DENW22AL500003Bt,DENW22AL500007mb,DENW22AL500003rT,DENW22AL500005Ga,DENW22AL500005jP,DENW22AL500003J7,DENW22AL500006Ym,DENW22AL500005cA,DENW22AL500002l9,DENW22AL500007na,DENW22AL500007cm,DENW22AL500003jw,DENW22AL500002zS,DENW22AL500007q1,DENW22AL500004zz,DENW22AL500003Ke,DENW22AL500002vU,DENW22AL500004FJ,DENW22AL500005su,DENW22AL500003gx,DENW22AL500006sN,DENW22AL500002i7,DENW22AL500003FA,DENW22AL500004hR,DENW22AL500002rx,DENW22AL500006Lm,DENW22AL500006XU,DENW22AL500003ob,DENW22AL500003CX,DENW22AL500005XJ,DENW22AL500004UX,DENW22AL500006mP,DENW22AL500006NM,DENW22AL5000028q,DENW22AL500005zL,DENW22AL500006cf,DENW22AL500002jA,DENW22AL500007jC,DENW22AL5000076C,DENW22AL500006jN,DENW22AL500006dx,DENW22AL500003tx,DENW22AL500003Tb,DENW22AL500006hB,DENW22AL500004oX
10,22066.854,22419.492,15212.465,15161.033,15460.766,23442.678,23694.842,24237.969,27219.84,23290.504,23066.918,23437.885,23310.643,22685.768,22808.453,22815.902,35072.75,35934.04,23341.406,40323.27,49535.797,50235.68,44572.34,39031.46,15749.722,18870.854,15389.572,19102.217,15841.864,17876.236,24534.22,25056.975,15774.992,12000.203,33529.215,32531.71,44291.55,43474.082,42540.395,20977.781,21254.752,21193.137,21639.738,32591.424,31699.596,20540.934,20319.02,21829.602,21351.25,21224.85,20973.924,22487.701,22696.723,24222.3,21120.06,20522.096,20771.756,21423.916,21224.738,26671.43,39574.777,26370.879,31136.268,31697.795,23380.49,24766.986,34369.44,25173.834,26406.07,26711.922,33576.74,26423.162,27059.154,26953.959,23549.934,23394.74,23290.844,40081.24,25224.656,25657.646,34089.25,25652.61,26103.648,26227.045,20821.963,20826.45,36266.574,22416.223,20152.967,24883.668,25026.773,24288.955,24222.3,32613.734,35986.074,38461.277,38010.01,29752.531,23198.613,45231.32,34103.41,32930.074,38198.543,45929.906,41308.684,37773.87,40429.203,46299.97,34017.605,29973.29,37037.617,44572.34
11,22066.854,22419.492,15212.465,15161.033,15460.766,23442.678,23694.842,24237.969,27219.84,23290.504,23066.918,23437.885,23310.643,22685.768,22808.453,22815.902,33640.38,34439.27,23341.406,38558.715,47497.984,48206.27,42720.07,37337.15,15749.722,18870.854,15389.572,19102.217,15841.864,17876.236,23506.168,24007.115,15774.992,11910.115,33016.684,32345.457,43836.62,42953.055,41469.9,20977.781,21254.752,21193.137,21639.738,31261.053,30379.299,20540.934,20319.02,21829.602,21351.25,21224.85,20973.924,22487.701,22696.723,24222.3,21120.06,20522.096,20771.756,21423.916,21224.738,26671.43,38163.88,26370.879,31136.268,31697.795,22452.484,24766.986,33084.09,25173.834,26406.07,26711.922,32522.732,26423.162,27059.154,26953.959,23549.934,23394.74,23290.844,38714.926,25224.656,25657.646,33053.12,25652.61,26103.648,26227.045,20821.963,20826.45,35642.59,22416.223,20152.967,24883.668,25026.773,23240.525,24222.3,32027.06,34980.074,36818.13,36447.023,29752.531,23198.613,43356.93,32891.37,31872.25,36796.754,44042.16,39912.566,36381.473,39406.492,44283.543,34017.605,29973.29,36182.414,42720.07
12,22066.854,22419.492,15212.465,15161.033,15460.766,23442.678,23694.842,24237.969,27219.84,23290.504,23066.918,23437.885,23310.643,22685.768,22808.453,22815.902,32201.906,32978.754,23341.406,36611.875,44803.035,45541.062,40178.848,35481.492,15749.722,18870.854,15389.572,19102.217,15841.864,17876.236,22835.15,23311.477,15774.992,11849.999,32037.787,31573.734,42425.863,41517.81,39871.457,20977.781,21254.752,21193.137,21639.738,30083.625,29234.34,20540.934,20319.02,21829.602,21351.25,21224.85,20973.924,22487.701,22696.723,24222.3,21120.06,20522.096,20771.756,21423.916,21224.738,26671.43,36595.23,26370.879,31136.268,31697.795,21524.688,24766.986,31852.887,25173.834,26406.07,26711.922,31339.646,26423.162,27059.154,26953.959,23549.934,23394.74,23290.844,37126.918,25224.656,25657.646,31881.852,25652.61,26103.648,26227.045,20821.963,20826.45,34383.36,22416.223,20152.967,24883.668,25026.773,22281.828,24222.3,31014.262,33768.793,34924.52,34610.598,29752.531,23198.613,40727.23,31683.217,30728.154,35300.863,41432.887,38405.543,34893.785,38029.95,41553.133,34017.605,29973.29,34987.062,40178.848
13,22066.854,22419.492,15212.465,15161.033,15460.766,23442.678,23694.842,24237.969,27219.84,23290.504,23066.918,23437.885,23310.643,22685.768,22808.453,22815.902,31342.238,32110.576,23341.406,35127.055,42296.03,43082.688,37824.19,34113.246,15749.722,18870.854,15389.572,19102.217,15841.864,17876.236,22689.262,23152.08,15774.992,11671.962,31495.445,31106.693,41184.38,40288.66,38669.887,20977.781,21254.752,21193.137,21639.738,29518.285,28694.31,20540.934,20319.02,21829.602,21351.25,21224.85,20973.924,22487.701,22696.723,24222.3,21120.06,20522.096,20771.756,21423.916,21224.738,26671.43,35588.99,26370.879,31136.268,31697.795,21093.871,24766.986,31225.145,25173.834,26406.07,26711.922,30696.41,26423.162,27059.154,26953.959,23549.934,23394.74,23290.844,36079.76,25224.656,25657.646,31252.611,25652.61,26103.648,26227.045,20821.963,20826.45,33492.28,22416.223,20152.967,24883.668,25026.773,21847.828,24222.3,30456.932,33087.16,33486.613,33222.73,29752.531,23198.613,38237.508,31066.646,30151.166,34376.457,38985.746,37482.47,33975.17,37138.555,38976.453,34017.605,29973.29,34282.273,37824.19
14,22066.854,22419.492,15212.465,15161.033,15460.766,23442.678,23694.842,24237.969,26708.258,23290.504,23066.918,23437.885,23310.643,22685.768,22808.453,22815.902,30315.09,31080.268,23341.406,33942.78,40578.43,41357.434,36279.438,32983.49,15749.722,18870.854,15389.572,19102.217,15841.864,17876.236,21849.045,22301.037,15774.992,11580.899,30440.08,30080.857,39851.266,38974.598,37388.49,20977.781,21254.752,21193.137,21639.738,28550.168,27752.354,20540.934,20319.02,21829.602,21351.25,21224.85,20973.924,22074.61,22284.27,23580.018,21114.861,20522.096,20771.756,21423.916,21224.738,26671.43,34431.652,26370.879,30702.3,31186.617,20326.465,24158.121,30209.28,24585.053,26406.07,26711.922,29665.574,26423.162,27059.154,26953.959,23549.934,23394.74,23290.844,34901.8,25224.656,25657.646,30206.316,25652.61,26103.648,26227.045,20821.963,20826.45,32383.79,22078.053,20152.967,24883.668,25026.773,21091.25,23580.018,29440.432,31991.846,32346.5,32071.123,29018.588,23198.613,36629.293,30046.791,29156.766,33267.867,37372.78,36291.477,32877.1,35935.14,37340.37,33523.363,29312.383,33148.375,36279.438
15,21391.342,22036.93,15052.889,15003.12,15264.597,22489.516,22567.912,23159.895,24623.832,22442.559,22196.44,22578.541,22334.898,21843.86,21760.209,22085.016,28142.904,28905.7,22436.916,31868.338,38254.137,38976.54,34140.918,30915.385,15749.722,18830.088,15268.659,18891.844,15635.035,17826.738,20026.062,20443.854,15518.405,11572.048,28062.867,27705.482,37212.867,36371.89,34860.79,20634.768,20817.889,20742.836,21267.57,26399.014,25656.877,19733.75,19308.629,20857.926,20085.873,20294.994,19757.258,20091.117,20291.234,21454.105,19665.002,19406.611,19916.014,20463.146,20344.672,25684.441,32035.049,25475.61,28410.021,28833.95,18605.135,22013.6,27957.06,22425.777,25412.328,25698.957,27403.105,25570.828,25871.955,25905.828,23416.621,23294.992,23219.031,32479.258,24233.826,24594.477,27904.312,24595.223,25003.451,25013.697,19580.477,19796.924,30023.17,20131.035,19320.127,24758.092,24891.594,19364.252,21454.105,27145.088,29596.113,30288.404,29967.271,26640.535,23198.613,34483.11,27776.998,26910.955,30937.455,35182.676,33783.02,30565.78,33391.516,35209.797,31077.84,26953.797,30669.842,34140.918
16,19929.285,20699.81,14151.356,14105.437,14319.087,20715.424,20721.555,21292.398,22448.793,20714.117,20472.396,20835.98,20556.75,20149.668,19988.033,20432.426,26052.031,26804.994,20693.668,29660.207,35554.156,36227.938,31636.625,28732.39,15476.929,17989.709,14400.294,17765.492,14662.506,16987.762,18671.1,19047.12,14515.341,11557.727,25865.662,25496.988,34337.598,33555.54,32208.795,19307.453,19416.406,19332.527,19894.27,24468.783,23796.209,18341.693,17898.172,19352.777,18577.256,18836.674,18280.281,18535.865,18716.215,19806.287,18173.33,17970.129,18498.902,18986.207,18896.44,23759.03,29629.066,23604.99,26162.213,26555.83,17174.684,20318.275,25874.922,20697.092,23498.217,23761.8,25308.75,23717.832,23852.398,23942.096,22257.059,22208.682,22202.428,30023.28,22383.209,22692.834,25774.674,22695.947,23067.943,23033.818,18110.414,18348.139,27653.453,18573.826,17947.45,23578.383,23689.193,17909.58,19806.287,25018.357,27335.65,28085.117,27742.646,24506.875,22735.805,31943.035,25680.143,24841.752,28630.17,32610.232,31286.041,28280.852,30859.016,32674.662,28674.004,24798.729,28302.03,31636.625
17,19273.637,20039.982,13676.488,13634.969,13820.304,19377.18,19339.363,19852.611,20956.803,19392.701,19171.4,19494.436,19214.854,18875.05,18679.836,19168.617,24647.457,25391.184,19397.754,27793.629,32819.793,33495.176,29067.893,26940.328,15076.04,17188.49,13919.392,16943.715,14135.091,16252.665,18120.365,18470.28,13995.371,11462.362,24583.518,24204.705,32071.04,31353.16,30218.13,18293.875,18390.922,18295.373,18845.008,23353.918,22729.725,17844.646,17416.977,18775.531,18036.229,18300.023,17763.008,18040.764,18204.86,19253.281,17677.545,17476.434,17986.402,18436.219,18362.092,22273.416,27954.906,22162.076,25005.303,25383.176,16340.14,19733.754,24637.17,20091.9,22036.18,22272.264,24044.625,22280.951,22309.059,22426.129,20968.055,20984.04,20985.16,28287.354,21020.648,21279.732,24503.834,21284.047,21624.531,21565.793,17596.527,17832.36,26002.016,18077.992,17473.94,22170.494,22262.88,17059.229,19253.281,23756.201,25956.594,26228.182,25909.3,23470.08,22077.133,29275.516,24439.322,23625.047,27063.465,29953.67,29622.88,26728.998,29167.672,29974.207,27468.953,23736.885,26836.63,29067.893
18,19556.992,20323.19,13924.448,13885.378,14054.83,18974.977,18899.656,19357.02,20479.982,19000.402,18798.895,19082.873,18806.465,18522.203,18300.781,18823.988,24224.809,24961.031,19039.387,26782.285,30758.36,31470.92,27153.027,26026.475,15355.444,17179.553,14166.12,16958.371,14353.815,16300.813,18344.0,18685.37,14219.363,11418.483,24379.67,23991.203,30904.332,30243.305,29312.875,18157.424,18257.002,18148.32,18686.375,23214.965,22614.52,18222.965,17795.492,19118.352,18386.959,18662.227,18124.992,18421.717,18579.219,19619.71,18052.613,17847.463,18357.6,18792.135,18726.436,21772.943,27348.504,21699.748,25015.135,25387.37,16291.659,20092.125,24429.367,20446.363,21558.809,21769.5,23806.455,21822.738,21762.574,21900.326,20457.555,20538.695,20525.336,27625.15,20633.691,20848.098,24276.635,20853.385,21169.543,21090.732,17955.635,18197.12,25406.0,18461.43,17859.234,21510.242,21585.209,17006.002,19619.71,23534.723,25663.496,25234.203,24962.91,23544.168,22207.502,27221.234,24235.73,23434.217,26548.994,27939.229,29090.945,26221.543,28615.744,27858.076,27514.225,23795.88,26492.682,27153.027
19,20102.293,20865.756,14443.387,14402.894,14580.574,19460.61,19378.078,19812.889,20944.104,19486.912,19293.53,19563.244,19292.504,19024.334,18801.152,19323.445,24691.537,25420.535,19535.705,26975.328,30283.98,31011.506,26821.205,26275.365,15749.722,17730.838,14686.158,17515.334,14883.29,16856.365,18891.762,19236.1,14747.523,11302.587,24884.455,24492.393,30962.357,30339.084,29523.922,18697.53,18798.12,18688.73,19219.836,23755.879,23162.838,18736.064,18307.693,19647.432,18913.281,19185.354,18648.35,18950.143,19111.459,20147.95,18569.27,18364.227,18874.988,19318.97,19245.768,22199.867,27722.496,22138.25,25553.92,25924.621,16874.67,20624.941,24945.877,20981.547,21995.678,22194.652,24310.844,22258.914,22175.68,22318.016,20865.29,20965.59,20947.902,27974.12,21106.174,21307.781,24779.943,21313.494,21619.303,21536.49,18479.184,18717.498,25784.254,18988.285,18366.217,21846.576,21914.127,17593.627,20147.95,24039.738,26139.646,25452.748,25202.104,24100.531,22751.094,26795.479,24754.252,23958.307,26959.396,27530.928,29471.498,26637.316,28982.736,27385.873,28046.83,24349.234,26947.305,26821.205
