building_name,net_leased_area,building_age_group,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sumwithd
'district3_4f46834e-918d-41d7-b109-0b4e69f66405',1350.308837890625,"(2002,2009)",-1481.6657100900961,2.462215888945722,318.99255632277084,262120.45319072556,6733.544462916979,5160.5077605890465,-3456.7906249999996,None,None,None,None,41541.79118103364,None,1246.3144797666646,6224.6410646263475,-322.54041659170866,23629.4895037822,-19804.228622564195,342877.41060184874,323073.18197928456
'district3_61e859e4-0eef-4dcc-8b92-280cd311f448',1348.009033203125,"(2002,2009)",-1190.107350047188,1.9777073916754748,256.222023162692,270464.48287452746,6725.341470161877,5155.149869609881,-3450.903125,None,None,None,None,41471.04007612316,None,1245.2663076574504,6265.66074735922,-179.72869178408678,23035.623183082054,-22509.160039006238,350731.93271173694,328222.77267273073
'district3_cfcd7d4b-bc41-41ce-9c42-de33b5cb2a91',1348.662109375,"(2002,2009)",-1190.68392686021,1.978665540723909,256.34615623147386,269549.8435397671,6712.055410279608,5127.028147324162,-3452.575,None,None,None,None,41491.13166507101,None,1244.4187995923305,6251.77348905172,-143.13807557363498,23030.329293495382,-22459.56996053127,349810.86726900766,327351.2973084764
'district3_795f3d91-980c-4083-be77-e5c001e16a88bt_1',603.001953125,"(1979,1983)",-5578.170070269849,38.32061058309264,436.619470030541,184929.1510766723,3201.4623109647728,2329.4165048936566,-1989.9064453125,None,None,None,None,19025.559224236506,None,697.9682478708881,3376.5848389712673,5332.5222308258,7181.411896611666,-12725.771547005543,224084.16988573433,211358.3983387288
'district3_11427b62-de6c-4da9-9623-6682c3dc473cbt_1',759.09765625,"(1979,1983)",-7022.159388641268,48.24045018252953,549.6446813408501,265554.4729755552,5211.982114286702,4788.195930243091,-2963.7046053114454,None,None,None,None,24051.369802905832,None,1105.609941721928,5760.465417871509,4325.953607378879,10790.078150993504,-17547.599818404356,318624.4233356452,301076.8235172408
'district3_49610a46-6608-432a-a0cc-148cb1355e5cbt_1',852.228515625,"(1979,1983)",-7883.681925495216,54.15889103812379,617.0785366593453,260755.03588403083,4575.230175936903,3385.783436179955,-2812.3541015625,None,None,None,None,26613.791894625374,None,990.8801088775938,4820.634588473766,7386.443199652056,10198.261011177261,-17933.38359345474,315913.70619739126,297980.32260393654
'district3_49610a46-6608-432a-a0cc-148cb1355e5cbt_2',4.0,"(1979,1983)",None,None,None,9055.380084520051,18.845918266224757,14.962353180951943,-9.0,None,None,None,None,189.79709643403123,None,3.3487719031246472,21.780359009151066,44.747662953905,42.47873511292432,-370.0756362832855,9382.340981380365,9012.26534509708
'district3_c778fe57-2744-4b64-8236-263b61081a6e',1832.744140625,"(1949,1957)",-101724.63082796232,698.8223585084468,7962.280432767215,66399.5430907399,2226.7841308593747,1057.9628660222377,-4948.4091796875,None,None,None,None,56383.7617314848,None,1534.006845703125,6007.6029150497525,106908.23279614918,24.36020769888915,-57075.69900450729,235593.84540401975,178518.14639951248
'district3_7533e24e-6dc1-4d4c-a922-665a70d67082bt_1',1199.3701171875,"(1979,1983)",-11094.973169157354,76.2196456703896,868.4355701055578,337128.6483533018,7246.209793740556,6135.9745243928555,-4128.334593866044,None,None,None,None,36910.50660586053,None,1511.1165926906597,7677.685074096942,8176.674922754037,15346.410874942208,-23935.098745313902,416004.8921479136,392069.7934025997
'district3_7d62c284-661e-4696-96d8-833f04791391',590.72265625,"(1958,1968)",-38252.04871548215,262.7818521783738,2994.0982485907425,40910.7200208557,1166.8310116743964,489.51324144572527,-2354.924591974215,None,None,None,None,18173.917503956796,None,730.0266235120067,2869.418641205939,40561.23790787358,1104.8026898113794,-22827.988706278113,103651.5430483613,80823.5543420832
'district3_79c79818-f83d-43d1-9ea6-5671b7d3fa98',620.953125,"(1969,1978)",-5744.230377637772,39.46140268727583,449.617489539219,172252.02896998104,3192.970073727293,806.2363495890106,-5197.090586759026,None,None,None,None,19103.88365595113,None,1611.0980818952983,6634.887796481149,9585.517706869896,3747.4793334505466,-14352.74617924517,211737.0113811863,197384.26520194113
'district3_61814265-6743-4b39-a743-6a6b7bdcfe5d',810.3994140625,"(1949,1957)",-44980.409098780176,309.0039778688869,3520.7464338777777,33141.49960991458,984.6352880859374,467.8080631767425,-2188.07841796875,None,None,None,None,24932.26039230855,None,678.3043095703125,2656.757643389331,47334.61413818113,12.07475094985334,-25262.572157654646,108019.87577760768,82757.30361995303
'district3_cc5474a5-f899-4023-926e-707e88f302a4',718.572265625,"(1969,1978)",-6647.272508260786,45.665072599056906,520.3012032878027,198150.16184680426,3687.7119090623974,930.8066398041982,-5998.6409915245595,None,None,None,None,22107.043328184154,None,1859.5787073726135,7658.882206742424,11071.455795231235,4311.254380711458,-16563.736428547487,243778.2538223882,227214.5173938407
'district3_026d9481-8ea9-4597-b34a-b8bdb4781225bt_0',947.62060546875,"(1979,1983)",-11688.163135575582,80.29470996899587,914.8662607267263,273671.59046020923,5654.533443493094,4962.404462321404,-3312.680215895548,None,None,None,None,29384.068041253595,None,1215.9051734400969,6207.114016141977,9270.983298771644,11830.419987422234,-20675.058692042832,338884.3386671578,318209.279975115
'district3_9e93914c-6ae4-4af4-a5d3-24e8e79c7dbe',669.5283203125,"(1949,1957)",-37161.4999076897,255.2900590528822,2908.737846074771,38939.9846185193,813.4769091796875,386.4893549185275,-1807.72646484375,None,None,None,None,20598.64313788238,None,560.3952041015625,2195.9349390852053,39296.416866286374,13.959930736802612,-20947.461053107792,100997.57449586611,80050.11344275832
