building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,387084.772873568,,,,0.0006819453257429718,3.750159467878723e-08,1.8072099054421704e-07,,,,,,,,7.497036593380655e-09,6.9072324750943e-08,8.789132013148323e-08,1.837282071611463e-08,-8.833794303350793e-07,0.0006823463818303867,0.0006814630024000516
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,210489.1619047269,4.207879367458628e-05,5.13939881240963e-08,1.2951003914340747e-05,0.00250694186774311,3.646308837324538e-08,7.56215597999654e-07,,,,,,,,2.470127678331906e-08,1.189997309435079e-07,1.3791908487322135e-06,3.6477982302924108e-09,-2.2398658174249627e-05,0.002509261086084172,0.002486862427909922
ground_floors,185883.82202148438,3.15717286226345e-10,1.1575520194924235e-11,1.1993432451140187e-08,0.0013334020065590285,2.1434789663190228e-08,3.8044471590980094e-07,,,,,,,,1.339130492519531e-08,5.2165803479359025e-08,2.889573299700602e-07,4.0587688629752935e-08,-3.069595406863131e-06,0.001334198988191606,0.0013311293927847428
windows,72239.79021283955,,,,0.0029278720720048116,,,,,,,,,,,3.450598217331712e-12,1.8815431561587935e-10,6.569423671821616e-11,5.271388909152138e-09,0.002927872329303962,0.002927877600692871
inner_walls,2571335.0464184564,,,,0.002055276057469396,2.32424839685227e-06,6.344106138471466e-06,,,,,,,,4.192690850176344e-07,3.7792346590711938e-06,5.067889641547273e-06,9.78419535997416e-07,-4.945830982618151e-05,0.002074189224926353,0.002024730915100171
floors,592367.755859375,4.2805358900579565e-10,1.5694240322634962e-11,1.626085117660796e-08,0.03476007779224809,0.0026017677236994242,4.402185819823972e-06,,,,,,,,6.267897984299562e-08,0.0026019102126234304,9.978376541452126e-05,2.175475862467674e-07,0.00038367051523949096,0.040068221906371375,0.04045189242161087
ceilings,592367.755859375,4.2805358900579565e-10,1.5694240322634962e-11,1.626085117660796e-08,0.005726538399075976,9.566831974193044e-08,1.8108317195115233e-06,,,,,,,,5.737402019159182e-08,2.2353176906113161e-07,1.2362346401919963e-06,2.5166173658881407e-07,-1.2983905485135962e-05,0.005730213701281263,0.005717229795796127
