building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,387084.772873568,,,,44971.296440948216,101.52574469683078,7.015710957225823,,,,,,,,6.413354882961542,87.01477833819594,50.08663491995133,39.87605563659898,-112.74713929162576,45263.22872037998,45150.48158108835
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,210489.1619047269,3.6427269104196647,0.1104179565609018,17.633485406868157,18186.42804314818,484.50026125174907,76.79583138500067,,,,,,,,1211.1684892089077,1328.884466434963,460.6510317612447,719.9090474170207,-2130.013354628563,22468.33717060706,20338.3238159785
ground_floors,185883.82202148438,261.36981877768085,143.29674250452788,4357.147522798233,14389.366228842162,331.9217528008399,49.758421259391504,,,,,,,,659.6701933593749,723.1729549468378,461.76729984712665,1064.6436959952634,-3489.7232155910583,17680.300547050996,14190.577331459937
windows,72239.79021283955,,,,20049.680708467393,,,,,,,,,,,37.43949616983294,29.811923350719773,75.12317374327704,-5685.394417976895,20192.055301731223,14506.660883754328
inner_walls,2571335.0464184564,,,,101390.31022763353,6372.083840123906,340.9301027682844,,,,,,,,1113.957045427805,5890.099991795441,2863.222130183531,7073.227501450775,-5944.983814064565,125043.83083938327,119098.84702531871
floors,592367.755859375,354.3685881848459,194.28358090575819,5907.4770889306565,53789.746191663915,1645.0094599363258,226.266548074618,,,,,,,,3087.634475024421,3380.5111119063577,2214.4719322229707,5711.726341917423,-8641.150863191811,70055.36606074603,61414.21519755422
ceilings,592367.755859375,354.3685881848459,194.28358090575819,5907.4770889306565,52381.50153306858,1566.4679498106968,216.7175394000276,,,,,,,,2826.306413378913,3060.8197831600205,2277.1204941358174,6617.0016535817285,-8233.863297348349,68945.93536653579,60712.072069187445
