building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,387084.772873568,,,,40215548.555253245,16508.483826135678,35497.274035347815,,,,,,,,1577.16254948444,15268.49455842806,-44997.402944548056,57585.86441428678,-56904.56780858552,40296988.431692384,40240083.8638838
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,210489.1619047269,-15473.41347563772,25.713549457539482,3331.3207466566446,10609178.716235474,189488.81857501017,59109.37612080334,-403689.5865983213,,,,,,,125168.29715237753,497985.353929455,259243.7428701474,711860.1308401981,-1091011.4519187934,12048344.849125143,10957333.39720635
ground_floors,185883.82202148438,-5085324.226254466,34934.88490099717,398043.0034635513,2105146.239230411,193398.042441084,75235.82665051159,-219890.064453125,,,,,,,68165.91998046872,268337.61678659794,5314381.124612917,402315.8426077776,-2897241.8779679583,8207090.547856643,5309848.6698886845
windows,72239.79021283955,,,,3615577.493732266,,,,,,,,,,,17785.590820619884,434858.67240759445,11825.423584683944,-1299445.479784904,4080047.1805451643,2780601.70076026
inner_walls,2571335.0464184564,,,,63295355.865651324,1077109.9358094286,1821387.793769643,-256213.4773339844,,,,,,,164345.91816395416,1306962.694486738,-2288448.132486316,1113417.0105772563,-2241965.5386213693,66233917.60863804,63991952.070016675
floors,592367.755859375,-6894748.502132241,47365.169776150135,539671.8635452457,26824697.709413614,982603.1659407713,285194.63214285637,-1029211.4916748045,,,,,,,319055.5624191892,1259042.8966516266,7760755.515918124,2061152.2031533415,-5928479.298263129,38463290.19396472,32534810.89570159
ceilings,592367.755859375,-6894748.502132241,47365.169776150135,539671.8635452457,26161238.026508,1008491.6013312319,285632.96641158994,-942102.1377929687,,,,,,,292051.66271582013,1140922.6127878563,7731100.563388022,2214503.794915412,-5747092.117862331,37891839.09026497,32144746.97240264
