building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,387084.772873568,,,,34191092.30065219,102078.52492478407,169449.4363867049,-58870.865000592494,,,,,,,25778.507161649864,147151.9016120362,-180804.6042051328,93852.5059760477,-302426.4454207655,34489727.70750769,34187301.26208693
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,210489.1619047269,-63032.46601734116,639.0348462662517,13550.466908781826,4774355.817241602,122204.84267725781,32811.160718655854,-138390.9150871135,,,,,,,42913.224828095306,170979.71964686405,172132.91132511792,341371.5953729427,-408430.42606434954,5518378.356723421,5109947.930659072
ground_floors,185883.82202148438,-3858494.515923761,40336.6340738569,728639.7419008194,-628636.6258198316,58593.320252038786,34260.390251548866,-98052.90781249992,,,,,,,30470.966203187218,121291.49382867722,4232587.892501609,61307.71556696508,-1249107.5507810547,3811822.2449716954,2562714.694190641
windows,72239.79021283955,,,,3615577.493732266,,,,,,,,,,,17785.590820619884,434858.67240759445,11825.423584683944,-1299445.479784904,4080047.1805451643,2780601.70076026
inner_walls,2571335.0464184564,,,,63295355.865651324,1077109.9358094286,1821387.793769643,-256213.4773339844,,,,,,,164345.91816395416,1306962.694486738,-2288448.132486316,1113417.0105772563,-2241965.5386213693,66233917.60863804,63991952.070016675
floors,592367.755859375,-6894748.502132241,47365.169776150135,539671.8635452457,26824697.709413614,982603.1659407713,285194.63214285637,-1029211.4916748045,,,,,,,319055.5624191892,1259042.8966516266,7760755.515918124,2061152.2031533415,-5928479.298263129,38463290.19396472,32534810.89570159
ceilings,592367.755859375,-6894748.502132241,47365.169776150135,539671.8635452457,26161238.026508,1008491.6013312319,285632.96641158994,-942102.1377929687,,,,,,,292051.66271582013,1140922.6127878563,7731100.563388022,2214503.794915412,-5747092.117862331,37891839.09026497,32144746.97240264
