building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,387084.772873568,,,,28055.828260984767,2.5568976405296935,1.3615999630463003,,,,,,,,,2.0090299084492553,1.468854419089439,26.65782300150389,-24.52958712052877,28089.882465917384,28065.352878796857
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,210489.1619047269,69.26405881473184,22.99453504533523,632.0700656298982,7008.326555169139,164.6374829242467,25.10149066310237,,,,,,,,284.6559747061696,318.40277298957903,229.21860408441148,758.2668254549114,-804.2577142300237,8788.60970599156,7984.351991761536
ground_floors,185883.82202148438,45.086696805157686,16.535271613853684,459.61625579157464,6312.3007751239975,183.20865326047198,22.89114695736871,,,,,,,,290.79648508962265,317.86024417195694,286.41980810793535,968.8919648701262,-691.2036347416856,8382.36907758148,7691.165442839794
windows,72239.79021283955,,,,20049.680708467393,,,,,,,,,,,37.43949616983294,29.811923350719773,75.12317374327704,-5685.394417976895,20192.055301731223,14506.660883754328
inner_walls,2571335.0464184564,,,,101390.31022763353,6372.083840123906,340.9301027682844,,,,,,,,1113.957045427805,5890.099991795441,2863.222130183531,7073.227501450775,-5944.983814064565,125043.83083938327,119098.84702531871
floors,592367.755859375,354.3685881848459,194.28358090575819,5907.4770889306565,53789.746191663915,1645.0094599363258,226.266548074618,,,,,,,,3087.634475024421,3380.5111119063577,2214.4719322229707,5711.726341917423,-8641.150863191811,70055.36606074603,61414.21519755422
ceilings,592367.755859375,354.3685881848459,194.28358090575819,5907.4770889306565,52381.50153306858,1566.4679498106968,216.7175394000276,,,,,,,,2826.306413378913,3060.8197831600205,2277.1204941358174,6617.0016535817285,-8233.863297348349,68945.93536653579,60712.072069187445
