building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,387084.772873568,,,,1192434448.4489474,19448.09753156415,41529.48447154228,,,,,,,,1700.0776354700226,17967.236015319955,-48633.83477849288,166666.639002238,-110265.22896273018,1192633126.1488252,1192522860.9198625
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,210489.1619047269,-205990.18089582425,342.3122320470395,44348.28580689323,1967967.0408916245,19857.00625699681,16008.980215896305,-30495.23808739386,,,,,,,12803.409277546325,52987.374295863134,263877.5496388288,182097.7181001992,-194364.28203987578,2485103.840589561,2290739.5585496854
ground_floors,185883.82202148438,-546455.0744332259,3754.007469244755,42772.61574833856,1228208.979458739,54728.30446072365,17134.23321748676,-47236.54648437499,,,,,,,14643.329410156259,57510.32002219248,592229.8891182658,150789.35435871285,-395517.0726498268,2068007.863561902,1672490.7909120752
windows,72239.79021283955,,,,3615577.493732266,,,,,,,,,,,17785.590820619884,434858.67240759445,11825.423584683944,-1299445.479784904,4080047.1805451643,2780601.70076026
inner_walls,2571335.0464184564,,,,63295355.865651324,1077109.9358094286,1821387.793769643,-256213.4773339844,,,,,,,164345.91816395416,1306962.694486738,-2288448.132486316,1113417.0105772563,-2241965.5386213693,66233917.60863804,63991952.070016675
floors,592367.755859375,-6894748.502132241,47365.169776150135,539671.8635452457,26824697.709413614,982603.1659407713,285194.63214285637,-1029211.4916748045,,,,,,,319055.5624191892,1259042.8966516266,7760755.515918124,2061152.2031533415,-5928479.298263129,38463290.19396472,32534810.89570159
ceilings,592367.755859375,-6894748.502132241,47365.169776150135,539671.8635452457,26161238.026508,1008491.6013312319,285632.96641158994,-942102.1377929687,,,,,,,292051.66271582013,1140922.6127878563,7731100.563388022,2214503.794915412,-5747092.117862331,37891839.09026497,32144746.97240264
