building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,387084.772873568,,,,0.0008865504644598672,1.8406553789565366e-07,6.511461094780443e-07,,,,,,,,3.937211920687402e-08,3.436239392364243e-07,4.966588470052916e-07,8.671076384444166e-08,-4.922106610182324e-06,0.0008883520417765339,0.0008834299351663515
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,210489.1619047269,2.0659393657219245e-05,2.5233029537318756e-08,6.359009737638735e-06,0.0008787608223997028,1.4165407394609845e-08,7.140060691115242e-07,,,,,,,,8.485244297867515e-09,4.479049401962336e-08,6.001948641256057e-07,2.5909715945845627e-08,-1.0240315058883623e-05,0.000880168374194598,0.0008699280591357144
ground_floors,185883.82202148438,2.014565911892586e-09,1.319731097059415e-11,2.8534778085848138e-08,0.0005889672072602612,1.0710518286262609e-08,9.534282332069742e-08,,,,,,,,6.3258655096742975e-09,2.65121048474368e-08,1.3321724593551145e-07,6.750076630745735e-09,-1.4110267177743511e-06,0.0005892460658947916,0.0005878350391770172
windows,72239.79021283955,,,,0.0029278720720048116,,,,,,,,,,,3.450598217331712e-12,1.8815431561587935e-10,6.569423671821616e-11,5.271388909152138e-09,0.002927872329303962,0.002927877600692871
inner_walls,2571335.0464184564,,,,0.002055276057469396,2.32424839685227e-06,6.344106138471466e-06,,,,,,,,4.192690850176344e-07,3.7792346590711938e-06,5.067889641547273e-06,9.78419535997416e-07,-4.945830982618151e-05,0.002074189224926353,0.002024730915100171
floors,592367.755859375,4.2805358900579565e-10,1.5694240322634962e-11,1.626085117660796e-08,0.03476007779224809,0.0026017677236994242,4.402185819823972e-06,,,,,,,,6.267897984299562e-08,0.0026019102126234304,9.978376541452126e-05,2.175475862467674e-07,0.00038367051523949096,0.040068221906371375,0.04045189242161087
ceilings,592367.755859375,4.2805358900579565e-10,1.5694240322634962e-11,1.626085117660796e-08,0.005726538399075976,9.566831974193044e-08,1.8108317195115233e-06,,,,,,,,5.737402019159182e-08,2.2353176906113161e-07,1.2362346401919963e-06,2.5166173658881407e-07,-1.2983905485135962e-05,0.005730213701281263,0.005717229795796127
