building_name,net_leased_area ,building_age_group,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
DEHHALKA10000t7C,1350.308837890625,"(2002, 2009)",0.5136093469341585,0.28158777734832957,8.562089166016913,434.5639907283842,19.963465590396023,1.7886859794863956,,,,,,51.26556804822569,,12.3675548640636,22.89357294400471,16.151896161755783,49.21042704904755,-42.769687434915454,608.205161365364,565.4354739304486
DEHHALKA10000t7F,1348.009033203125,"(2002, 2009)",0.5127345832130914,0.28110818566373386,8.547506477785706,477.7008498110071,20.039945863123126,1.791048298602008,,,,,,51.17825519535514,,12.352723098618183,23.032423524612593,16.244456330403857,49.35436924120088,-56.87548234132057,651.6940713629228,594.8185890216023
DEHHALKA10000t79,1348.662109375,"(2002, 2009)",0.5129829901084051,0.2812443754467799,8.551647527787669,475.8895192737676,19.945071629147893,1.7867960230341766,,,,,,51.20304970832069,,12.352808131287144,22.95739930640542,16.20759482000227,49.27375200554226,-56.675974709158595,649.6159908975073,592.9400161883487
DEHHALKA3Aw000Dnbt_1,603.001953125,"(1979, 1983)",,,,263.55915112389096,8.473687877080023,0.6439224354834882,,,,,,23.14488713718147,,4.400036068020662,9.23843836181849,6.607122093415633,20.22279397184376,-24.02539208852047,336.2900390687345,312.264646980214
DEHHALKA3gi00005bt_1,759.09765625,"(1979, 1983)",,,,372.12172810088015,16.778039285114854,1.109773479996447,,,,,,29.18828369415041,,5.883760600281193,16.57202182383045,10.850855806801924,31.43019639297595,-28.480397696245248,483.9346591840314,455.45426148778614
DEHHALKA900014M0bt_1,852.228515625,"(1979, 1983)",,,,372.03703775783305,12.295633247329693,0.9257125437360046,,,,,,32.56732349136365,,6.23664734517569,13.31338211335002,9.468733670634942,28.890486131694864,-33.551807726187455,475.7349563011179,442.18314857493044
DEHHALKA900014M0bt_2,4.0,"(1979, 1983)",,,,13.728978642043392,0.05771049910627516,0.004344902930440497,,,,,,0.18688867940107357,,0.029272183367870113,0.07154483805589824,0.05243626862215877,0.14977887011467533,-1.6119895659602173,14.280954883641785,12.668965317681568
DEHHALKAJ000109w,1832.744140625,"(1949, 1957)",5.228329038975331,2.866446185449819,87.15849835715888,362.05752922610674,8.280211192530288,1.1666498128029306,,,,,,69.5816233359806,,19.19333156107666,20.871375541221305,10.374106251467374,15.548914592730524,-77.4541305072527,507.0737415139164,429.6196110066637
DEHHALKAJ00010D9bt_1,1199.3701171875,"(1979, 1983)",,,,478.3553850184199,21.902382525424684,1.5279031091181559,,,,,,45.541415642527575,,9.036437494458973,22.398108273969118,15.181594552389631,45.0633270921763,-36.71709465112297,639.0065537084843,602.2894590573613
DEHHALKAJ00010A0,590.72265625,"(1958, 1968)",2.4226729303604184,1.1746359363512235,34.906388782411305,96.94003493902417,1.8578832134665482,0.3028381506979153,,,,,,22.427523899770982,,4.784853515625,5.264842462450189,1.9922110872261793,0.29017484396835697,-25.665522272945303,133.86036211222932,108.19483983928401
DEHHALKAJ00010D6,620.953125,"(1969, 1978)",,,,202.4785986517573,6.7058919446135965,0.8979950534876738,,,,,,23.575205626520425,,14.801323998567305,16.804421229760703,7.340673238883407,17.984278184152192,-24.837288239786744,290.5883879277426,265.75109968795584
DEHHALKAJ00010Ax,810.3994140625,"(1949, 1957)",2.3118528635790128,1.2674798721975709,38.5395835859127,165.11691635497834,3.764017680268953,0.5277090922801313,,,,,,30.76790585765876,,8.656064416092836,9.414087676008496,4.754519081885675,7.50156408189499,-34.55425403837602,230.5027842410682,195.94853020269218
DEHHALKAJ000108c,718.572265625,"(1969, 1978)",,,,233.77884426137408,7.747841377717048,1.0364816071649523,,,,,,27.281362236002273,,17.102382174755924,19.417414826745105,8.484905473362788,20.803435772037293,-28.67191814867465,335.6526677291595,306.9807495804848
DEHHALKAJ000107hbt_0,947.62060546875,"(1979, 1983)",,,,382.45843397550635,17.293041656898712,1.1666061069436189,,,,,,36.10222754091982,,6.454166487242592,17.30136261726193,11.47695436010724,33.55603704364598,-29.349017054082474,505.8088297885263,476.4598127344438
DEHHALKAJ00010AW,669.5283203125,"(1949, 1957)",1.9099852957720984,1.047154841349496,31.840278035824575,141.09572114496694,3.1598646644137354,0.4417603105703084,,,,,,25.419725436106944,,7.234004398929793,7.869912158732268,4.010225871733132,6.5219231388807115,-28.774926399337865,195.75313712433382,166.97821072499596
DEHHALKAJ00010Em,1410.43359375,"(1958, 1968)",5.507434175006901,2.7104212850357055,80.78433762691978,225.568448343952,4.421067807066729,0.7137156262456782,,,,,,53.54825859603761,,11.424512109375,12.549088874960919,4.744042232931496,0.589022301372889,-60.110246946845564,313.55815589194236,253.4479089450968
DEHHALKAJ00010CR,1537.02734375,"(1949, 1957)",4.3847280790033185,2.403939572777351,73.09530678377075,312.2871653495668,7.120988043714226,0.9987976124073858,,,,,,58.35458718603509,,16.38775740011098,17.822643427720188,8.988300048993914,14.118180320742953,-65.48314697605717,436.0784193892915,370.59527241323434
DEHHALKAJ00010DZbt_1,109.232421875,"(1979, 1983)",,,,62.596528129678106,1.777775223539123,0.08703316831665303,,,,,,4.3742069512228365,,0.10028458476397174,1.476208708240542,0.7709506071353184,1.7977035081065622,-5.660487064047605,72.98069088100311,67.32020381695551
DEHHALKAJ00010CC,654.6484375,"(1949, 1957)",1.867536968326559,1.0238824257501828,31.13264612315305,134.29648022459492,3.05928405861037,0.428441993421392,,,,,,24.854713919784384,,7.023220309057088,7.638473692795101,3.871173214148895,6.1737074675423615,-27.968856645204852,187.34549487995446,159.3766382347496
