building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,387084.772873568,,,,0.0004308171943649197,3.544317461059454e-11,6.340274637085824e-08,,,,,,,,,1.2020785122568177e-11,1.3661258824346163e-12,3.045506572999792e-10,-1.9020823911257475e-08,0.00043088095049203357,0.0004308619296681223
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,210489.1619047269,2.0659676495124296e-05,2.5234684534974964e-08,6.362859386796786e-06,0.0006324502953262358,1.0777368752221771e-08,1.2214571743169243e-06,,,,,,,,5.834759886551123e-09,3.5107978547668884e-08,5.447173265267494e-07,2.6067533693886577e-08,-9.738752863736248e-06,0.0006342942574679597,0.0006245555046042235
ground_floors,185883.82202148438,1.920615230971218e-10,1.3394768421047596e-12,2.784717113738614e-09,0.0005860935263593507,1.2102126915110213e-08,1.5309206455513266e-07,,,,,,,,6.251456921756814e-09,2.623276679293018e-08,1.3122595396479972e-07,3.726409146737729e-08,-1.360645558798621e-06,0.0005864596948199678,0.0005850990492611692
windows,72239.79021283955,,,,0.0029278720720048116,,,,,,,,,,,3.450598217331712e-12,1.8815431561587935e-10,6.569423671821616e-11,5.271388909152138e-09,0.002927872329303962,0.002927877600692871
inner_walls,2571335.0464184564,,,,0.002055276057469396,2.32424839685227e-06,6.344106138471466e-06,,,,,,,,4.192690850176344e-07,3.7792346590711938e-06,5.067889641547273e-06,9.78419535997416e-07,-4.945830982618151e-05,0.002074189224926353,0.002024730915100171
floors,592367.755859375,4.2805358900579565e-10,1.5694240322634962e-11,1.626085117660796e-08,0.03476007779224809,0.0026017677236994242,4.402185819823972e-06,,,,,,,,6.267897984299562e-08,0.0026019102126234304,9.978376541452126e-05,2.175475862467674e-07,0.00038367051523949096,0.040068221906371375,0.04045189242161087
ceilings,592367.755859375,4.2805358900579565e-10,1.5694240322634962e-11,1.626085117660796e-08,0.005726538399075976,9.566831974193044e-08,1.8108317195115233e-06,,,,,,,,5.737402019159182e-08,2.2353176906113161e-07,1.2362346401919963e-06,2.5166173658881407e-07,-1.2983905485135962e-05,0.005730213701281263,0.005717229795796127
