building_name,net_leased_area ,building_age_group,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
DEHHALKAJ000106X,691.1787109375,"(1958, 1968)",6.305809450325722e-12,1.1028587907684302e-13,1.4388697934289757e-10,1.1223384043891344e-05,1.6503141943923396e-10,1.9894378310719716e-09,,,,,,1.1430858484934013e-09,,1.1365051543945313e-10,4.425023541966535e-10,2.4513025490585543e-09,5.212675072631969e-12,-2.5661796908103973e-08,1.1229694267084117e-05,1.1204032470176013e-05
DEHHALKAJ0001087bt_0,1165.005859375,"(1979, 1983)",,,,2.7884633552562673e-05,4.794267103463405e-09,1.9791591748330826e-08,,,,,,1.926717014863416e-09,,9.452210564314257e-10,7.859132210270321e-09,1.2648590440656165e-08,2.9578545931138623e-09,-1.262956786773397e-07,2.7935556926729803e-05,2.7809261248052465e-05
DEHHALKAJ0001087bt_1,1333.10546875,"(1979, 1983)",,,,3.140694272879324e-05,5.482058548874628e-09,2.263666426720677e-08,,,,,,2.204718974517554e-09,,1.0809149736983445e-09,8.98675042745297e-09,1.4465517242468818e-08,3.3829610939111368e-09,-1.4443954006827418e-07,3.1465182314321366e-05,3.132074277425309e-05
DEHHALKAJ00010Eh,1836.6298828125,"(1958, 1968)",1.5122369098832143e-11,2.834969643636957e-13,3.601067328140696e-10,2.9789047119268626e-05,4.382701747296202e-10,4.824120591245549e-09,,,,,,3.037456941175171e-09,,3.019970516308594e-10,1.1757477269248603e-09,6.513237769438899e-09,1.1691002548458212e-11,-6.800852740525313e-08,2.980534964052632e-05,2.9737341113121067e-05
DEHHALKAJ00010Apbt_0,4522.6318359375,"(1979, 1983)",,,,8.468193070169572e-05,2.3284150583799274e-08,8.936995175169443e-08,,,,,,7.479623319268149e-09,,4.483307696943619e-09,3.800713069355994e-08,5.864281788066838e-08,1.3453184073700728e-08,-5.831183584119335e-07,8.491665086769535e-05,8.433353250928342e-05
DEHHALKAJ00010ED,2555.748046875,"(1949, 1957)",8.806879088178164e-12,3.228971335651737e-13,3.345547236640667e-10,5.264634522104405e-05,8.123072027777343e-10,4.1955692650135705e-09,,,,,,4.226749612822117e-09,,5.369754433886718e-10,2.0897302509594353e-09,1.1574331085698528e-08,7.323878272134246e-10,-1.1859187632206862e-07,5.2670513271731916e-05,5.2551921395409845e-05
DEHHALKAJ00010Dw,1936.94921875,"(1949, 1957)",6.674553694888034e-12,2.447171392189534e-13,2.535521885354023e-10,4.040604603468951e-05,6.246713774661381e-10,3.2215496759224125e-09,,,,,,3.2033671594027334e-09,,4.12126422449365e-10,1.6038636981035425e-09,8.883125617278204e-09,5.878403984028164e-10,-9.10397658328948e-08,4.042458257903852e-05,4.033354281320563e-05
DEHHALKAJ00010CLbt_0,1726.1591796875,"(1979, 1983)",,,,3.319185812139195e-05,9.772647938618654e-09,3.6486693679660745e-08,,,,,,2.854758802167954e-09,,1.865438991228227e-09,1.5927516789296498e-08,2.4191078103501275e-08,5.5083321610693256e-09,-2.401615873113909e-07,3.328846458785749e-05,3.3048303000546094e-05
DEHHALKAJ00010CLbt_1,911.1748046875,"(1979, 1983)",,,,1.8703375208154826e-05,5.1586149652563444e-09,1.925995955557022e-08,,,,,,1.506936364503039e-09,,9.846954026548954e-10,8.407540859020343e-09,1.2769627681629185e-08,2.9076589569845923e-09,-1.2677327754532518e-07,1.8754370241940446e-05,1.8627596964395122e-05
DEHHALKAJ00010AK,860.0478515625,"(1969, 1978)",,,,0.00035814224760841927,2.889824131976931e-05,3.568433636061041e-08,,,,,,1.4223651551906117e-09,,4.195133677544818e-10,2.8899241286867387e-05,1.1023621125513522e-06,5.30314388667889e-10,4.3262956997482724e-06,0.00041708014885687947,0.00042140644455662777
DEHHALKAJ00010D1,682.2548828125,"(1949, 1957)",2.35098927986884e-12,8.619712975634111e-14,8.930911404466772e-11,1.4554949934175955e-05,2.2578836697424718e-10,1.16136988532137e-09,,,,,,1.128327458905091e-09,,1.4845361583143497e-10,5.77733975131691e-10,3.199769424045701e-09,2.2771009997514748e-10,-3.278585503681229e-08,1.456161908700214e-05,1.4528833231965328e-05
DEHHALKAJ00010C2,689.3984375,"(1958, 1968)",6.885135676870408e-12,1.1348672231815652e-13,1.516225254666825e-10,1.1206948835021479e-05,1.6470055850021936e-10,2.1528456967302687e-09,,,,,,1.1401415968221876e-09,,1.13357785078125e-10,4.4139492732153696e-10,2.445160255881709e-09,5.9882461078642846e-12,-2.5661254161220164e-08,1.121341242408792e-05,1.11877511699267e-05
DEHHALKAJ00010EY,856.015625,"(1958, 1968)",7.76163304796262e-12,1.3630656120528252e-13,1.7754840834658724e-10,1.3899005765280306e-05,2.0438161685103464e-10,2.4503014460114755e-09,,,,,,1.4156965759729265e-09,,1.4075464921875e-10,5.48030663158553e-10,3.0358917150097965e-09,6.392202121054463e-12,-3.1776507119560625e-08,1.390680721414865e-05,1.387503070702909e-05
DEHHALKAJ00010Dybt_0,1084.08984375,"(1979, 1983)",,,,2.0172282027298666e-05,5.337104775497662e-09,2.0767057529315466e-08,,,,,,1.7928910213050439e-09,,1.0321296329997757e-09,8.718618301738609e-09,1.3558239325901867e-08,3.121770804042357e-09,-1.3492301462673902e-07,2.0226609838689468e-05,2.009168682406273e-05
DEHHALKAJ00010Dybt_1,522.205078125,"(1979, 1983)",,,,1.0165120959755326e-05,2.790700800273072e-09,1.0593320969287526e-08,,,,,,8.636549950856308e-10,,5.354665624055575e-10,4.55247797095923e-09,6.979900099411644e-09,1.5964848493828672e-09,-6.93608391284971e-08,1.0193032966002131e-05,1.0123672126873634e-05
DEHHALKAJ00010Kr,830.3896484375,"(1958, 1968)",7.672275760249564e-12,1.3306277757200858e-13,1.7417956988288158e-10,1.3485915161318731e-05,1.9828579931904284e-10,2.4174134166981657e-09,,,,,,1.373315804992582e-09,,1.3654096989257814e-10,5.316323921160528e-10,2.9450494100075298e-09,6.390283493959767e-12,-3.084097455770136e-08,1.3493523789395252e-05,1.346268281483755e-05
DEHHALKAJ00010mObt_0,1644.840087890625,"(1979, 1983)",,,,4.032856516029464e-05,6.797618547801137e-09,2.8672300221570144e-08,,,,,,2.720271661417418e-09,,1.349899423786455e-09,1.1157830684486817e-08,1.8185821942090698e-08,4.27626633561984e-09,-1.8180319424015845e-07,4.0401725169111414e-05,4.0219921974871254e-05
DEHHALKAJ00010mObt_1,1554.635009765625,"(1979, 1983)",,,,3.8404283738783845e-05,6.434104714932581e-09,2.7124765921913185e-08,,,,,,2.57108865890056e-09,,1.2774850428447222e-09,1.0560805946767255e-08,1.720744622604541e-08,4.045667380159913e-09,-1.7201744453012546e-07,3.84735051026754e-05,3.8301487658145274e-05
DEHHALKAJ00010bibt_0,445.697021484375,"(1979, 1983)",,,,1.0750038873641436e-05,1.6493808327837778e-09,6.781444239977909e-09,,,,,,7.371378955337897e-10,,3.247491513602621e-10,2.703133494579191e-09,4.3402406686471475e-09,1.0139008225161622e-09,-4.3327631790129156e-08,1.0767588860746835e-05,1.0724261228956705e-05
DEHHALKAJ00010is,531.865234375,"(1949, 1957)",1.8327600078081015e-12,6.719667059225434e-14,6.96226792505713e-11,9.76462284696304e-06,1.4778019140722657e-10,7.747641743575859e-10,,,,,,8.796098568376171e-10,,9.960107277832033e-11,3.8761650927251586e-10,2.1470693944248803e-09,7.63898286943247e-11,-2.203047420420536e-08,9.769135677990809e-06,9.747105203786604e-06
DEHHALKAJ00010Kj,732.373046875,"(1958, 1968)",6.6257498896836e-12,1.1653191628939057e-13,1.51702000130302e-10,1.1891128681457334e-05,1.7485847170878967e-10,2.092193954971737e-09,,,,,,1.2112138986410537e-09,,1.2042410009765627e-10,4.688725150791135e-10,2.5973843845013097e-09,5.449313670650934e-12,-2.718509168513009e-08,1.1897799078096004e-05,1.1870613986410874e-05
DEHHALKAJ00010JX,538.5830078125,"(1860, 1918)",1.712200030876802e-11,1.9549723512129222e-13,3.084468234670009e-10,9.139076000817847e-06,2.7305482614232614e-09,8.834041030170212e-09,,,,,,8.907198886968295e-10,,6.093106970479342e-10,5.141757013942527e-09,8.0203954656586e-09,1.2637525334864662e-09,-8.035761155166938e-08,9.166566525708271e-06,9.086208914156601e-06
DEHHALKAJ00010Hc,839.201171875,"(1949, 1957)",2.8918121488530373e-12,1.0602596496720531e-13,1.0985383183545608e-10,1.7116599666634803e-05,2.6368905196645477e-10,1.3635951163240434e-09,,,,,,1.3878884905391368e-09,,1.745846533979813e-10,6.794265921721129e-10,3.763115293068886e-09,2.2970736734726036e-10,-3.858736135804692e-08,1.7124461673199623e-05,1.7085874311841577e-05
DEHHALKAJ00010I1,1226.453125,"(1958, 1968)",9.513897169604898e-12,1.8589212228495174e-13,2.3251533957309505e-10,1.988015298013826e-05,2.9257284587500004e-10,3.0560425434532585e-09,,,,,,2.0283338908104814e-09,,2.0166568734375e-10,7.851041386621765e-10,4.349253816052217e-09,7.176643334122984e-12,-4.530321446184216e-08,1.989087312970379e-05,1.9845569915241946e-05
DEHHALKAJ00010lF,656.58984375,"(1958, 1968)",5.093328174319298e-12,9.951858496461686e-14,1.244786346643103e-10,1.0642968222198122e-05,1.5663082040625e-10,1.63607271667992e-09,,,,,,1.0858820465135266e-09,,1.079630680078125e-10,4.203105313562581e-10,2.3283977524703456e-09,3.830648088070834e-12,-2.4257086354606695e-08,1.0648707309781642e-05,1.0624450223427035e-05
DEHHALKAJ00010h2,599.4443359375,"(1949, 1957)",2.065631544999091e-12,7.573471807706898e-14,7.84689767861804e-11,1.2897157911137127e-05,2.0032565643011745e-10,1.029392075557048e-09,,,,,,9.913736433003714e-10,,1.315444467829326e-10,5.119290405120966e-10,2.8352929187027403e-09,2.0704398920413537e-10,-2.9047260051406872e-08,1.2903064812907616e-05,1.287401755285621e-05
DEHHALKAJ00010Kz,1310.1083984375,"(1969, 1978)",,,,0.000542439553458394,4.402056163992948e-05,5.3294614654664735e-08,,,,,,2.1666847216588095e-09,,6.07862279951442e-10,4.402200893928009e-05,1.6785542743126018e-06,8.028932586310154e-10,6.597233589094695e-06,0.0006322175503668311,0.0006388147839559258
