building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,387084.772873568,,,,39252.379132654845,542.0945623478909,37.77067078403546,,,,,,,,207.22655577997196,611.5405954892776,296.3472510091364,270.2694669852844,-724.0926674738537,41217.62823505044,40493.53556757659
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,210489.1619047269,9.211547243337417,2.577908376563334,77.23996336416954,8078.478193316501,211.78858836436265,30.457112988489254,,,,,,,,415.22170925377475,456.62492378810754,275.47827626953597,822.5576286198669,-779.953513855382,10290.606432600638,9510.652918745256
ground_floors,185883.82202148438,455.88807371537615,162.8786310253734,4493.366052791605,8652.306004333563,128.3704481335197,20.290885237017044,,,,,,,,294.4619327702869,330.88298025537,160.06535502608403,155.46186442092542,-2147.340629664723,9741.839470176765,7594.498840512042
windows,72239.79021283955,,,,20049.680708467393,,,,,,,,,,,37.43949616983294,29.811923350719773,75.12317374327704,-5685.394417976895,20192.055301731223,14506.660883754328
inner_walls,2571335.0464184564,,,,101390.31022763353,6372.083840123906,340.9301027682844,,,,,,,,1113.957045427805,5890.099991795441,2863.222130183531,7073.227501450775,-5944.983814064565,125043.83083938327,119098.84702531871
floors,592367.755859375,354.3685881848459,194.28358090575819,5907.4770889306565,53789.746191663915,1645.0094599363258,226.266548074618,,,,,,,,3087.634475024421,3380.5111119063577,2214.4719322229707,5711.726341917423,-8641.150863191811,70055.36606074603,61414.21519755422
ceilings,592367.755859375,354.3685881848459,194.28358090575819,5907.4770889306565,52381.50153306858,1566.4679498106968,216.7175394000276,,,,,,,,2826.306413378913,3060.8197831600205,2277.1204941358174,6617.0016535817285,-8233.863297348349,68945.93536653579,60712.072069187445
