building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,387084.772873568,,,,796018.2294050101,114.39719314538348,10.203301874387888,,,,,,,,6.9131753150108315,97.59549918296632,53.12780139535194,75.24931743523287,-169.10920150328974,796375.7156933583,796206.606491855
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,210489.1619047269,48.49388768760399,1.4699416442234001,234.7461892945343,3072.839352258318,63.931774403224615,10.671633743113972,,,,,,,,103.35879160375613,143.97397623080056,249.45996110003668,50.381445003469935,-277.9970924454446,3694.61693434272,3416.6198418972754
ground_floors,185883.82202148438,28.08608800936841,15.39827720070964,468.20719150899373,2962.259812642119,82.95477876613573,12.067812432570726,,,,,,,,141.709639453125,154.54246323320362,122.6940243326486,376.09618942614065,-520.7928077419315,3852.324720285944,3331.5319125440124
windows,72239.79021283955,,,,20049.680708467393,,,,,,,,,,,37.43949616983294,29.811923350719773,75.12317374327704,-5685.394417976895,20192.055301731223,14506.660883754328
inner_walls,2571335.0464184564,,,,101390.31022763353,6372.083840123906,340.9301027682844,,,,,,,,1113.957045427805,5890.099991795441,2863.222130183531,7073.227501450775,-5944.983814064565,125043.83083938327,119098.84702531871
floors,592367.755859375,354.3685881848459,194.28358090575819,5907.4770889306565,53789.746191663915,1645.0094599363258,226.266548074618,,,,,,,,3087.634475024421,3380.5111119063577,2214.4719322229707,5711.726341917423,-8641.150863191811,70055.36606074603,61414.21519755422
ceilings,592367.755859375,354.3685881848459,194.28358090575819,5907.4770889306565,52381.50153306858,1566.4679498106968,216.7175394000276,,,,,,,,2826.306413378913,3060.8197831600205,2277.1204941358174,6617.0016535817285,-8233.863297348349,68945.93536653579,60712.072069187445
