building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,387084.772873568,,,,0.0005418709733742878,3.117514700672458e-08,1.6091101576225245e-07,,,,,,,,6.231281055857501e-09,5.7411650917975814e-08,7.308344898698173e-08,1.5320460031775553e-08,-7.387859566444143e-07,0.0005422151063780494,0.000541476320421405
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,210489.1619047269,0.0005358383842039283,6.544597874786348e-07,0.00016492071126251353,0.0010333659316161601,1.2493791461726681e-08,5.569576974970582e-07,,,,,,,,4.704646448460355e-09,3.087381244290965e-07,1.0899266356945769e-05,4.095668631306713e-09,-0.00021598499585623155,0.0010451521879015736,0.000829167192045342
ground_floors,185883.82202148438,7.266432237563477e-11,2.664178896136279e-12,2.760364034661236e-09,0.0003059995880296445,4.926612899510962e-09,7.550668835663217e-08,,,,,,,,3.082093190859374e-09,1.200403539125566e-08,6.650534660436869e-08,9.287363274982891e-09,-7.028702027580921e-07,0.0003061709001693621,0.000305468029966604
windows,72239.79021283955,,,,0.0029278720720048116,,,,,,,,,,,3.450598217331712e-12,1.8815431561587935e-10,6.569423671821616e-11,5.271388909152138e-09,0.002927872329303962,0.002927877600692871
inner_walls,2571335.0464184564,,,,0.002055276057469396,2.32424839685227e-06,6.344106138471466e-06,,,,,,,,4.192690850176344e-07,3.7792346590711938e-06,5.067889641547273e-06,9.78419535997416e-07,-4.945830982618151e-05,0.002074189224926353,0.002024730915100171
floors,592367.755859375,4.2805358900579565e-10,1.5694240322634962e-11,1.626085117660796e-08,0.03476007779224809,0.0026017677236994242,4.402185819823972e-06,,,,,,,,6.267897984299562e-08,0.0026019102126234304,9.978376541452126e-05,2.175475862467674e-07,0.00038367051523949096,0.040068221906371375,0.04045189242161087
ceilings,592367.755859375,4.2805358900579565e-10,1.5694240322634962e-11,1.626085117660796e-08,0.005726538399075976,9.566831974193044e-08,1.8108317195115233e-06,,,,,,,,5.737402019159182e-08,2.2353176906113161e-07,1.2362346401919963e-06,2.5166173658881407e-07,-1.2983905485135962e-05,0.005730213701281263,0.005717229795796127
