building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,387084.772873568,,,,25185506.824001767,852.2992135098978,1683.8106413244323,,,,,,,,,800.4622366508952,220.7451429238509,55505.25388346516,-25225.97794132344,25244569.395119645,25219343.41717832
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,210489.1619047269,-511503.9915751324,5706.674558366113,109941.58247731368,3383141.8276054002,103420.00664199132,31678.22830215305,-94869.00357124502,,,,,,,29421.432258176057,118999.67766861235,752789.0560750455,357629.8249952633,-477204.37548992987,4682211.049975397,4205006.674485467
ground_floors,185883.82202148438,-406166.91243920603,4090.2110498214024,71893.00482276587,3572504.510033173,128577.67338122874,33120.53841382895,-96831.0919189453,,,,,,,30092.20327618526,117821.36018354922,518195.71960339334,244756.96281310794,-373448.7569119939,4548237.875785522,4174789.118873528
windows,72239.79021283955,,,,3615577.493732266,,,,,,,,,,,17785.590820619884,434858.67240759445,11825.423584683944,-1299445.479784904,4080047.1805451643,2780601.70076026
inner_walls,2571335.0464184564,,,,63295355.865651324,1077109.9358094286,1821387.793769643,-256213.4773339844,,,,,,,164345.91816395416,1306962.694486738,-2288448.132486316,1113417.0105772563,-2241965.5386213693,66233917.60863804,63991952.070016675
floors,592367.755859375,-6894748.502132241,47365.169776150135,539671.8635452457,26824697.709413614,982603.1659407713,285194.63214285637,-1029211.4916748045,,,,,,,319055.5624191892,1259042.8966516266,7760755.515918124,2061152.2031533415,-5928479.298263129,38463290.19396472,32534810.89570159
ceilings,592367.755859375,-6894748.502132241,47365.169776150135,539671.8635452457,26161238.026508,1008491.6013312319,285632.96641158994,-942102.1377929687,,,,,,,292051.66271582013,1140922.6127878563,7731100.563388022,2214503.794915412,-5747092.117862331,37891839.09026497,32144746.97240264
