building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,387084.772873568,,,,31843117.62688468,13864.816710101943,30311.61663618117,,,,,,,,1840.9956392214758,14936.338000324968,55288.485748061976,56983.53559001856,-92206.297005426,32016343.41520859,31924137.118203163
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,210489.1619047269,-252476.52651818577,953.8509162171525,54336.48546060175,2382284.4704482723,28164.049661562047,15098.688063316584,-52858.41268481602,,,,,,,19721.809010178516,80146.45835837857,330808.4071194049,107927.0756599701,-204804.97967958296,2911292.545636267,2706487.565956684
ground_floors,185883.82202148438,-1170419.4071155856,8040.483842186047,91612.10483199655,475107.7460967484,44349.72621107518,16995.848706470573,-50609.08359375,,,,,,,15688.815914062514,61706.234511305935,1223137.7690092262,82718.28165804374,-662022.1374308525,1869095.3385131825,1207073.20108233
windows,72239.79021283955,,,,3615577.493732266,,,,,,,,,,,17785.590820619884,434858.67240759445,11825.423584683944,-1299445.479784904,4080047.1805451643,2780601.70076026
inner_walls,2571335.0464184564,,,,63295355.865651324,1077109.9358094286,1821387.793769643,-256213.4773339844,,,,,,,164345.91816395416,1306962.694486738,-2288448.132486316,1113417.0105772563,-2241965.5386213693,66233917.60863804,63991952.070016675
floors,592367.755859375,-6894748.502132241,47365.169776150135,539671.8635452457,26824697.709413614,982603.1659407713,285194.63214285637,-1029211.4916748045,,,,,,,319055.5624191892,1259042.8966516266,7760755.515918124,2061152.2031533415,-5928479.298263129,38463290.19396472,32534810.89570159
ceilings,592367.755859375,-6894748.502132241,47365.169776150135,539671.8635452457,26161238.026508,1008491.6013312319,285632.96641158994,-942102.1377929687,,,,,,,292051.66271582013,1140922.6127878563,7731100.563388022,2214503.794915412,-5747092.117862331,37891839.09026497,32144746.97240264
