building_name,net_leased_area ,building_age_group,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
DEHHALKAJ000106X,691.1787109375,"(1958, 1968)",2.3817399931078285e-12,8.732457990758512e-14,9.047726865053174e-11,1.741838560854137e-05,2.5586189582090743e-10,3.5821230031035657e-09,,,,,,1.1430858508963533e-09,,1.760088920343497e-10,6.853880900423909e-10,3.791558386482951e-09,1.0634980351827152e-11,-3.939920703039292e-08,1.7428030269640103e-05,1.738863106260971e-05
DEHHALKAJ0001087bt_0,1165.005859375,"(1979, 1983)",,,,2.7884633552562673e-05,4.794267103463405e-09,1.9791591748330826e-08,,,,,,1.926717014863416e-09,,9.452210564314257e-10,7.859132210270321e-09,1.2648590440656165e-08,2.9578545931138623e-09,-1.262956786773397e-07,2.7935556926729803e-05,2.7809261248052465e-05
DEHHALKAJ0001087bt_1,1333.10546875,"(1979, 1983)",,,,3.140694272879324e-05,5.482058548874628e-09,2.263666426720677e-08,,,,,,2.204718974517554e-09,,1.0809149736983445e-09,8.98675042745297e-09,1.4465517242468818e-08,3.3829610939111368e-09,-1.4443954006827418e-07,3.1465182314321366e-05,3.132074277425309e-05
DEHHALKAJ00010Eh,1836.6298828125,"(1958, 1968)",6.328862239547523e-12,2.3204264023812146e-13,2.404201007485131e-10,4.447560816851152e-05,6.536795715745763e-10,8.456630981331466e-09,,,,,,3.0374569412341357e-09,,4.499393771189714e-10,1.7519561568076545e-09,9.69307856241914e-09,2.3927157263861072e-11,-1.0057077849243075e-07,4.4499674837259264e-05,4.439910405876683e-05
DEHHALKAJ00010Apbt_0,4522.6318359375,"(1979, 1983)",,,,8.468193070169572e-05,2.3284150583799274e-08,8.936995175169443e-08,,,,,,7.479623319268149e-09,,4.483307696943619e-09,3.800713069355994e-08,5.864281788066838e-08,1.3453184073700728e-08,-5.831183584119335e-07,8.491665086769535e-05,8.433353250928342e-05
DEHHALKAJ00010ED,2555.748046875,"(1949, 1957)",6.390030033162785e-11,6.452707666572023e-13,1.0844200667080947e-09,5.408530842362729e-05,4.6685470095563744e-09,1.636442592724305e-08,,,,,,4.226749617452573e-09,,1.3212483452292741e-09,9.27285412628671e-09,2.085490311840502e-08,1.8750612405774706e-09,-2.1111450250004345e-07,5.414389221301204e-05,5.3932777710511995e-05
DEHHALKAJ00010Dw,1936.94921875,"(1949, 1957)",2.7551642765981392e-11,3.668773336729226e-13,5.37705998640587e-10,4.096906079787668e-05,2.1869059998667435e-09,8.14892571396711e-09,,,,,,3.203367163482933e-09,,7.295192710403815e-10,4.511918188930662e-09,1.263671956302361e-08,1.069614832174776e-09,-1.2842927017769517e-07,4.1001547768609174e-05,4.087311849843148e-05
DEHHALKAJ00010CLbt_0,1726.1591796875,"(1979, 1983)",,,,3.319185812139195e-05,9.772647938618654e-09,3.6486693679660745e-08,,,,,,2.854758802167954e-09,,1.865438991228227e-09,1.5927516789296498e-08,2.4191078103501275e-08,5.5083321610693256e-09,-2.401615873113909e-07,3.328846458785749e-05,3.3048303000546094e-05
DEHHALKAJ00010CLbt_1,911.1748046875,"(1979, 1983)",,,,1.8703375208154826e-05,5.1586149652563444e-09,1.925995955557022e-08,,,,,,1.506936364503039e-09,,9.846954026548954e-10,8.407540859020343e-09,1.2769627681629185e-08,2.9076589569845923e-09,-1.2677327754532518e-07,1.8754370241940446e-05,1.8627596964395122e-05
DEHHALKAJ00010AK,860.0478515625,"(1969, 1978)",4.939413236253693e-13,1.8109961082821328e-14,1.876378696439368e-11,0.00036087602908351564,2.8898270574301727e-05,3.325698348516267e-08,,,,,,1.422365157543447e-09,,4.4280660187512683e-10,2.8899331453799505e-05,1.1028640271214244e-06,4.584506675377945e-10,4.321913254846758e-06,0.00041981207574465045,0.0004241339889994972
DEHHALKAJ00010D1,682.2548828125,"(1949, 1957)",9.704561495281328e-12,1.2922582061966217e-13,1.8939708875117454e-10,1.4735382204231065e-05,6.742795011426304e-10,2.5782509647882516e-09,,,,,,1.1283274650058452e-09,,2.3988361398350647e-10,1.4144382770931822e-09,4.283151780387176e-09,3.4823752580880807e-10,-4.360757918430376e-08,1.4746048773359276e-05,1.4702441194174972e-05
DEHHALKAJ00010C2,689.3984375,"(1958, 1968)",2.375605330136207e-12,8.709965742720453e-14,9.024422576954136e-11,1.8326228414150472e-05,2.690827041572136e-10,3.983155326662805e-09,,,,,,1.1401415994595744e-09,,1.8501986820219318e-10,7.20518579062852e-10,3.9853787553621e-09,1.2219545138723914e-11,-4.144824990821101e-08,1.8336523930528515e-05,1.8295075680620303e-05
DEHHALKAJ00010EY,856.015625,"(1958, 1968)",2.9497532498104576e-12,1.0815032880000452e-13,1.12054891805227e-10,2.1495610056682183e-05,3.157622483925019e-10,4.403327427755656e-09,,,,,,1.4156965784749859e-09,,2.1722144366618726e-10,8.458686546410082e-10,4.67937689251996e-09,1.304128963513521e-11,-4.862196996548056e-08,2.150750035121727e-05,2.1458878381251788e-05
DEHHALKAJ00010Dybt_0,1084.08984375,"(1979, 1983)",,,,2.0172282027298666e-05,5.337104775497662e-09,2.0767057529315466e-08,,,,,,1.7928910213050439e-09,,1.0321296329997757e-09,8.718618301738609e-09,1.3558239325901867e-08,3.121770804042357e-09,-1.3492301462673902e-07,2.0226609838689468e-05,2.009168682406273e-05
DEHHALKAJ00010Dybt_1,522.205078125,"(1979, 1983)",,,,1.0165120959755326e-05,2.790700800273072e-09,1.0593320969287526e-08,,,,,,8.636549950856308e-10,,5.354665624055575e-10,4.55247797095923e-09,6.979900099411644e-09,1.5964848493828672e-09,-6.93608391284971e-08,1.0193032966002131e-05,1.0123672126873634e-05
DEHHALKAJ00010Kr,830.3896484375,"(1958, 1968)",2.8614484275184568e-12,1.0491270356266662e-13,1.0870037823415261e-10,2.1080857905951047e-05,3.096420694325049e-10,4.3700122281059215e-09,,,,,,1.3733158077135668e-09,,2.1299103934679223e-10,8.294052397877186e-10,4.588175120658191e-09,1.303791670432062e-11,-4.7682752925228075e-08,2.1092554485372792e-05,2.1044871732447563e-05
DEHHALKAJ00010mObt_0,1644.840087890625,"(1979, 1983)",,,,4.032856516029464e-05,6.797618547801137e-09,2.8672300221570144e-08,,,,,,2.720271661417418e-09,,1.349899423786455e-09,1.1157830684486817e-08,1.8185821942090698e-08,4.27626633561984e-09,-1.8180319424015845e-07,4.0401725169111414e-05,4.0219921974871254e-05
DEHHALKAJ00010mObt_1,1554.635009765625,"(1979, 1983)",,,,3.8404283738783845e-05,6.434104714932581e-09,2.7124765921913185e-08,,,,,,2.57108865890056e-09,,1.2774850428447222e-09,1.0560805946767255e-08,1.720744622604541e-08,4.045667380159913e-09,-1.7201744453012546e-07,3.84735051026754e-05,3.8301487658145274e-05
DEHHALKAJ00010bibt_0,445.697021484375,"(1979, 1983)",,,,1.0750038873641436e-05,1.6493808327837778e-09,6.781444239977909e-09,,,,,,7.371378955337897e-10,,3.247491513602621e-10,2.703133494579191e-09,4.3402406686471475e-09,1.0139008225161622e-09,-4.3327631790129156e-08,1.0767588860746835e-05,1.0724261228956705e-05
DEHHALKAJ00010is,531.865234375,"(1949, 1957)",1.8327600078081015e-12,6.719667059225434e-14,6.96226792505713e-11,9.941849718112179e-06,1.1566352021236594e-09,3.9338049012802e-09,,,,,,8.796098569060412e-10,,3.014745673621818e-10,2.2472226082357154e-09,4.513670627162168e-09,5.637690105446802e-10,-4.5305149508108296e-08,9.955445904885795e-06,9.910140755377687e-06
DEHHALKAJ00010Kj,732.373046875,"(1958, 1968)",2.5236919887918142e-12,9.252913557949645e-14,9.5869724958166e-11,1.8367123918383268e-05,2.698088484402379e-10,3.757120344474891e-09,,,,,,1.2112139009644215e-09,,1.8561093590337048e-10,7.227750931558803e-10,3.998431717394583e-09,1.1117564565307505e-11,-4.1545605010467266e-08,1.8377279996788166e-05,1.83357343917777e-05
