building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,387084.772873568,,,,0.013666114906710505,4.049299796304844e-08,3.177751306509307e-07,,,,,,,,8.081313019303696e-09,7.447872910282875e-08,9.474026813652327e-08,2.037837293391189e-08,-9.89115934776447e-07,0.01366667085352231,0.013665681737587533
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,210489.1619047269,0.000560174930667576,6.84183675910213e-07,0.00017241054427311023,0.0009326088216509904,1.0562935560482092e-08,2.53868835730596e-07,,,,,,,,3.4101545753178728e-09,3.1633883023350144e-07,1.136048652568447e-05,4.736696677025888e-09,-0.0002254579642190877,0.0009445582256294518,0.0007191002614103641
ground_floors,185883.82202148438,3.392611866397055e-11,1.2438738354308624e-12,1.2887815468994876e-09,0.000290089084879651,4.895347794238499e-09,1.3077183742650287e-07,,,,,,,,2.8767056808984367e-09,1.1215250535060046e-08,6.201988412195535e-08,1.4369987218442796e-08,-6.663178960296298e-07,0.0002903152338924281,0.00028964891599639846
windows,72239.79021283955,,,,0.0029278720720048116,,,,,,,,,,,3.450598217331712e-12,1.8815431561587935e-10,6.569423671821616e-11,5.271388909152138e-09,0.002927872329303962,0.002927877600692871
inner_walls,2571335.0464184564,,,,0.002055276057469396,2.32424839685227e-06,6.344106138471466e-06,,,,,,,,4.192690850176344e-07,3.7792346590711938e-06,5.067889641547273e-06,9.78419535997416e-07,-4.945830982618151e-05,0.002074189224926353,0.002024730915100171
floors,592367.755859375,4.2805358900579565e-10,1.5694240322634962e-11,1.626085117660796e-08,0.03476007779224809,0.0026017677236994242,4.402185819823972e-06,,,,,,,,6.267897984299562e-08,0.0026019102126234304,9.978376541452126e-05,2.175475862467674e-07,0.00038367051523949096,0.040068221906371375,0.04045189242161087
ceilings,592367.755859375,4.2805358900579565e-10,1.5694240322634962e-11,1.626085117660796e-08,0.005726538399075976,9.566831974193044e-08,1.8108317195115233e-06,,,,,,,,5.737402019159182e-08,2.2353176906113161e-07,1.2362346401919963e-06,2.5166173658881407e-07,-1.2983905485135962e-05,0.005730213701281263,0.005717229795796127
