Koordinatensystem : Lambert konform konisch
Rechtswert        : 3799500 Meter
Hochwert          : 2747500 Meter
Hoehenlage        : 48 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3799500 2747500  1  3  1   0.7 1029 101  2.3 6  3.5  89    0    0 259 -285  3
3799500 2747500  1  3  2   0.0 1029  90  2.3 5  3.4  88    0    0 246 -286  3
3799500 2747500  1  3  3  -0.6 1029  78  2.2 4  3.3  89    0    0 233 -287  3
3799500 2747500  1  3  4  -1.0 1030  74  2.4 3  3.2  90    0    0 223 -287  3
3799500 2747500  1  3  5  -1.6 1030  59  2.3 3  3.0  90    0    0 217 -285  3
3799500 2747500  1  3  6  -2.4 1030  74  2.5 0  2.9  89    0    0 210 -283  3
3799500 2747500  1  3  7  -2.6 1029  82  2.8 0  2.8  89    0    0 204 -285  3
3799500 2747500  1  3  8  -2.7 1030 100  3.1 0  2.7  87    0    0 205 -286  3
3799500 2747500  1  3  9  -3.3 1030  91  3.2 0  2.6  86    0    0 203 -285  3
3799500 2747500  1  3 10  -2.6 1030  88  4.2 0  2.4  82   25   34 202 -285  3
3799500 2747500  1  3 11  -1.9 1030  87  3.9 0  2.3  72  108   45 201 -286  3
3799500 2747500  1  3 12  -1.2 1030  80  4.1 0  2.1  62  159   49 199 -288  3
3799500 2747500  1  3 13  -0.3 1030  72  4.0 0  2.0  56  198   40 199 -291  3
3799500 2747500  1  3 14   0.8 1029  76  4.1 0  1.9  51  185   37 200 -294  3
3799500 2747500  1  3 15   0.3 1029  59  4.0 0  1.9  49  134   33 200 -294  3
3799500 2747500  1  3 16  -0.2 1030  89  4.1 2  1.9  50   52   30 203 -292  3
3799500 2747500  1  3 17  -0.5 1030  95  4.1 2  1.8  50    1    7 206 -288  3
3799500 2747500  1  3 18  -1.3 1030  75  3.8 1  1.8  52    0    0 203 -283  3
3799500 2747500  1  3 19  -1.3 1030  68  4.3 0  1.9  55    0    0 200 -281  3
3799500 2747500  1  3 20  -1.6 1030  76  3.5 0  1.8  52    0    0 198 -279  3
3799500 2747500  1  3 21  -1.8 1030  59  3.6 0  1.6  48    0    0 196 -276  3
3799500 2747500  1  3 22  -2.4 1030  58  3.0 0  1.5  47    0    0 195 -275  3
3799500 2747500  1  3 23  -2.5 1030  66  3.6 1  1.5  48    0    0 197 -274  3
3799500 2747500  1  3 24  -3.4 1030  72  2.8 4  1.5  52    0    0 204 -272  3
3799500 2747500  1  4  1  -4.2 1029  76  2.6 4  1.6  56    0    0 209 -272  3
3799500 2747500  1  4  2  -4.7 1029  86  2.3 4  1.5  58    0    0 208 -273  3
3799500 2747500  1  4  3  -5.1 1029  71  2.7 2  1.5  58    0    0 203 -274  3
3799500 2747500  1  4  4  -4.6 1029  85  3.7 1  1.4  56    0    0 197 -274  3
3799500 2747500  1  4  5  -4.9 1029  74  4.0 1  1.4  54    0    0 195 -273  3
3799500 2747500  1  4  6  -5.4 1028 154  2.1 0  1.4  56    0    0 192 -273  3
