building_name,net_leased_area,building_age_group,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sumwithd
'distric2_e3d94b2e-0ba6-443a-be84-a7c4c9a3c636',469.7794189453125,"(1949,1957)",-23177.455005434844,159.22322488949382,1814.1662935422332,21982.42699360266,507.36177246093746,241.05161675269449,-1127.47060546875,None,None,None,None,14453.296077455034,None,349.5158876953125,1369.3952103925617,24471.129846054955,7.9125484216116115,-13049.632163136255,62254.61934736702,49204.98718423076
'distric2_d3a8160e-b60b-4201-b69d-341e44d9ac15',478.417236328125,"(1949,1957)",-23603.618042088867,162.15085663374023,1847.523304330089,22303.307409383633,516.690615234375,245.48382421298737,-1148.2013671875,None,None,None,None,14719.041980422164,None,355.942423828125,1394.5670285008987,24919.710714691122,8.029322322040677,-13289.025658179798,63314.57195140785,50025.54629322805
'distric2_830bfd06-ed3b-469e-8f1d-5187b3de855c',476.662353515625,"(1949,1957)",-23517.03758371578,161.55607089081283,1840.7464019815325,22230.65029925463,514.7953417968749,244.5833647162424,-1143.9896484375,None,None,None,None,14665.045903554468,None,354.63679101562496,1389.4524069824065,24828.453105905264,8.00302489821251,-13240.340558166297,63091.630589686225,49851.29003151993
'distric2_37b3a70e-7f07-4ebe-b18e-c40d96298057',465.497314453125,"(1949,1957)",-22966.18929179616,157.77188313405765,1797.6299164216834,21620.629991267524,502.737099609375,238.85439786800356,-1117.1935546875,None,None,None,None,14321.548498709775,None,346.330001953125,1356.8990271346852,24245.419631454963,7.7847873667058325,-12929.617982710799,61523.009880676655,48593.391897965856
'distric2_485dac39-60ca-4019-ae92-3247c9fba05a',469.6885986328125,"(1949,1957)",-23172.974213766116,159.19244298960942,1813.8155690467318,21796.75660300906,507.2636865234375,241.00501534301318,-1127.25263671875,None,None,None,None,14450.485087426965,None,349.4483173828125,1369.1147864491604,24463.417901874374,7.848489574490858,-13045.912437724546,62058.08725086456,49012.174813140016
'distric2_5d617cc8-43b1-49bc-ae13-60afc1d32e18',464.836669921875,"(1949,1957)",-22933.59514594786,157.5479696365115,1795.0786785592468,21705.984197198217,502.023603515625,238.51541019435413,-1115.6080078124999,None,None,None,None,14301.232634847787,None,345.83848242187497,1354.9833170344932,24212.91668740896,7.8137333744620845,-12912.03352108283,61553.700058183276,48641.66653710045
'distric2_20258c63-9dad-4581-874d-53b7eb88fca6',467.8897705078125,"(1949,1957)",-23084.22563039203,158.58276277899603,1806.868961297126,49196.810824134474,505.32095214843747,240.0820067770676,-1122.93544921875,None,None,None,None,14395.455110210583,None,348.1099892578125,1366.247440781336,24821.32873363635,17.291013906486537,-13177.267904066319,89767.71062163381,76590.4427175675
'distric2_6c0c2a44-886a-4d04-9b66-72628a94708d',469.0052490234375,"(1949,1957)",-23139.259870000635,158.9608340170922,1811.1766500604197,49713.367449237936,506.5256689453125,240.65437731694345,-1125.61259765625,None,None,None,None,14429.811360418464,None,348.9399052734375,1369.5391796333633,24887.06499995324,17.469850171866735,-13211.31745819371,90387.7601932943,77176.4427351006
'distric2_cda64926-04c3-4a24-96b5-0b8f1a9e93db',466.6376953125,"(1949,1957)",-23022.452135571995,158.15839457050922,1802.0337715789049,22271.38757130439,503.96871093749996,239.43954621375974,-1119.9304687499998,None,None,None,None,14356.660411232411,None,347.1784453125,1360.2748575091703,24314.63908262657,8.00989567401568,-12965.236965525193,62281.62805206032,49316.39108653512
'distric2_f0fbb8b1-e084-4aff-9706-927af2175817',575.3408203125,"(1958,1968)",-37256.00305617059,255.93927166314552,2916.1348802429943,78274.9409700686,1089.0072028664417,462.593357466476,-2191.7502041902794,None,None,None,None,17701.133855589324,None,679.4425632989866,2672.8671932997404,40137.67074250539,930.347481377844,-22246.64048906651,139756.25316228252,117509.612673216
