building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,34621.314138243026,,,,3401519.1867361986,,,,,,,,,,,,29.50289714538737,151.1306362829987,,3401699.820269627,3401699.820269627
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,20968.840587826115,,,,650686.4563558908,11677.828037716097,3488.883719278024,-25072.13286380005,,,,,,,7772.361187778016,30889.00980633979,15069.635833557146,39431.706579048216,-65356.300186309556,733943.748655808,668587.4484694984
ground_floors,15144.099731445312,-213350.7723505757,1465.6655788289631,16699.580683420885,82350.50600773134,8011.0093749462885,2953.262136432689,-9225.314453124998,,,,,,,2859.8474804687503,11224.027065612187,222960.34007785775,10609.818650357854,-118507.29819329573,331743.49634028185,213236.19814698613
windows,6481.354676368072,,,,81092.73942472436,,,,,,,,,,,304.4861787506182,57839.99834314085,1060.9771183555044,-23234.878435999206,140298.20106497133,117063.32262897212
inner_walls,179923.85504577632,,,,,,,,,,,,,,,,,,,0,0
floors,30884.579833984375,-1142811.8132617625,7850.826689413476,89451.17878538511,171960.32926869998,25016.509665527352,11885.542876309335,-55592.24370117186,,,,,,,17233.595547363282,67441.98882301504,1191614.5516258313,75.8356103393568,-637422.4679117347,1429636.109715914,792213.6418041792
ceilings,30884.579833984375,-1142811.8132617625,7850.826689413476,89451.17878538511,171960.32926869998,25016.509665527352,11885.542876309335,-55592.24370117186,,,,,,,17233.595547363282,67441.98882301504,1191614.5516258313,75.8356103393568,-637422.4679117347,1429636.109715914,792213.6418041792
