building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,34621.314138243026,,,,5.773971050258036e-05,,,,,,,,,,,,1.8258463521901174e-13,8.39581916389792e-13,,5.773971152474691e-05,5.773971152474691e-05
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,20968.840587826115,,,,0.00015185597748214945,2.225296438582622e-09,4.122051505369221e-08,,,,,,,,1.5268928914054232e-09,5.9478141844231725e-09,3.2844501997762444e-08,1.828989403947416e-10,-3.397756159446135e-07,0.0001519399254016557,0.00015160014978571107
ground_floors,15144.099731445312,1.3245670062306035e-11,4.856418320775894e-13,5.031750116098051e-10,5.53761385140985e-05,8.950025304022217e-10,8.309986608852664e-09,,,,,,,,5.618216501953125e-10,2.187145285682499e-09,1.2122975108450627e-08,1.6684564990437686e-09,-1.2648707592938056e-07,5.540188390178113e-05,5.527539682585175e-05
windows,6481.354676368072,,,,2.064312324316862e-09,,,,,,,,,,,1.0064811393455194e-13,2.182265620312901e-12,5.894087553542808e-12,1.9149873329592247e-09,2.072489325604652e-09,3.987476658563877e-09
inner_walls,179923.85504577632,,,,,,,,,,,,,,,,,,,0,0
floors,30884.579833984375,7.095033242672092e-11,2.6013368341614874e-12,2.6952531789335155e-09,0.00033188846370084407,4.89767667007324e-09,2.618527366112864e-08,,,,,,,,3.3855676414013674e-09,1.3175483490281302e-08,7.298888172698859e-08,4.212925229804592e-13,-7.515798714599326e-07,0.0003320090970053265,0.00033125751713386655
ceilings,30884.579833984375,7.095033242672092e-11,2.6013368341614874e-12,2.6952531789335155e-09,0.00033188846370084407,4.89767667007324e-09,2.618527366112864e-08,,,,,,,,3.3855676414013674e-09,1.3175483490281302e-08,7.298888172698859e-08,4.212925229804592e-13,-7.515798714599326e-07,0.0003320090970053265,0.00033125751713386655
