building_element,overall_area ,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
outer_walls,34621.314138243026,,,,3784.480775797522,,,,,,,,,,,,0.1963144478467306,0.9600851052916558,,3785.63717535066,3785.63717535066
doors,0,,,,,,,,,,,,,,,,,,,0,0
rooftops,20968.840587826115,,,,1090.4011376721157,29.768336211750302,4.64316614381528,,,,,,,,75.2163985914001,82.37286050900005,28.340053849522352,43.30306450052574,-129.9700795147297,1354.0450174781295,1224.0749379633999
ground_floors,15144.099731445312,10.965564873416156,6.011901961102754,182.80069232067135,592.6566257704246,13.616956208676761,1.9232611733934795,,,,,,,,27.67594335937499,30.237298540840904,19.37086073817696,44.17585369846684,-143.44842459187845,729.6567994893546,586.2083748974762
windows,6481.354676368072,,,,807.9184526871744,,,,,,,,,,,0.661417946852719,0.1742547800945061,6.740051874597767,-28.253713163080345,815.4941772887194,787.240464125639
inner_walls,179923.85504577632,,,,,,,,,,,,,,,,,,,0,0
floors,30884.579833984375,58.73696606936325,32.20270780192115,979.1705385215043,2832.384337719936,63.37515781933597,9.687615061950694,,,,,,,,166.77673110351554,181.51518438136608,68.26573164152785,0.48175963344176614,-786.032554708332,3322.4865173610738,2536.4539626527417
ceilings,30884.579833984375,58.73696606936325,32.20270780192115,979.1705385215043,2832.384337719936,63.37515781933597,9.687615061950694,,,,,,,,166.77673110351554,181.51518438136608,68.26573164152785,0.48175963344176614,-786.032554708332,3322.4865173610738,2536.4539626527417
