building_name,net_leased_area,building_age_group,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sumwithd
'B20_IV',201.6123046875,"(2010,2015)",-296.6600862933429,0.49298649021381596,63.868900144751876,60015.744679785115,894.2940173525421,753.1538799543223,-430.10625,None,None,None,None,6202.61399256743,None,155.8440120152144,850.7698341360476,344.14764675935123,6009.604878300278,-5690.484041098592,74796.0666908703,69105.5826497717
'B21_IV',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.6848649832,894.2924751908218,753.1526743995754,-430.10546875,None,None,None,None,6202.602727042717,None,155.84372893833657,850.7684123057429,344.14756131374577,6009.599232951051,-5690.4795084302,74795.9862083752,69105.50669994499
'B22_IV',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.68486964779,894.2924751986195,753.1526744149807,-430.10546875,None,None,None,None,6202.602726982782,None,155.84372893833657,850.7684123174539,344.1475613649126,6009.599233450762,-5690.479508980448,74795.98621356564,69105.50670458519
'B23_IV',201.611572265625,"(2010,2015)",-296.65900857967375,0.4929846992810152,63.86866812032425,60015.62504522719,894.2909330208196,753.1514688284672,-430.1046875,None,None,None,None,6202.591460760217,None,155.84344586145872,850.7669904630006,344.14747581379754,6009.593587071098,-5690.474975177409,74795.90571954605,69105.43074436864
'B24_IV',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.6848649832,894.2924751908218,753.1526743995754,-430.10546875,None,None,None,None,6202.602726821834,None,155.84372893833657,850.7684123057429,344.14756131374577,6009.599232951051,-5690.4795084302,74795.98620815431,69105.50669972411
'B25_IV',201.611572265625,"(2010,2015)",-296.65900857967375,0.4929846992810152,63.86866812032425,60015.62505178581,894.2909330317835,753.1514688501276,-430.1046875,None,None,None,None,6202.591460458691,None,155.84344586145872,850.7669904794668,344.14747588574056,6009.593587773716,-5690.474975951083,74795.90572662679,69105.4307506757
'B26_IV',201.611572265625,"(2010,2015)",-296.65900857967375,0.4929846992810152,63.86866812032425,60015.62504522719,894.2909330208196,753.1514688284672,-430.1046875,None,None,None,None,6202.591460471668,None,155.84344586145872,850.7669904630006,344.14747581379754,6009.593587071098,-5690.474975177409,74795.9057192575,69105.43074408009
'B27_IV',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.68486950209,894.292475198376,753.1526744144994,-430.10546875,None,None,None,None,6202.602726928927,None,155.84372893833657,850.7684123170881,344.14756136331425,6009.599233435154,-5690.479508963261,74795.98621334779,69105.50670438452
'B28_IV',201.6112060546875,"(2010,2015)",-296.65846972283913,0.49298380381461476,63.868552108110435,60015.5652371296,894.2893908703065,753.1502632958619,-430.10390625,None,None,None,None,6202.580194264057,None,155.8431627845809,850.7655686495277,344.1473904417331,6009.587942440097,-5690.470443299881,74795.82524362578,69105.35480032589
'B5_IV',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.68486527461,894.292475191309,753.1526744005378,-430.10546875,None,None,None,None,6202.602726766805,None,155.84372893833657,850.7684123064746,344.1475613169423,6009.59923298227,-5690.479508464576,74795.9862084273,69105.50669996273
'B6_IV',201.611572265625,"(2010,2015)",-296.65900857967375,0.4929846992810152,63.86866812032425,60015.625047121226,894.2909330239859,753.1514688347223,-430.1046875,None,None,None,None,6202.591460741769,None,155.84344586145872,850.7669904677557,344.1474758345737,6009.593587274005,-5690.474975400835,74795.90572165951,69105.43074625867
'B7_IV',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.68486964779,894.2924751986195,753.1526744149807,-430.10546875,None,None,None,None,6202.602726904218,None,155.84372893833657,850.7684123174539,344.1475613649126,6009.599233450764,-5690.479508980449,74795.98621348708,69105.50670450662
'B88_IV',201.6112060546875,"(2010,2015)",-296.65846972283913,0.49298380381461476,63.868552108110435,60015.56523771255,894.2893908712811,753.1502632977872,-430.10390625,None,None,None,None,6202.580193471955,None,155.8431627845809,850.7655686509914,344.1473904481276,6009.587942502549,-5690.4704433686475,74795.82524348983,69105.35480012119
'B89_IV',201.6123046875,"(2010,2015)",-296.6600862933429,0.49298649021381596,63.868900144751876,60015.7446819707,894.2940173561958,753.1538799615404,-430.10625,None,None,None,None,6202.61399299829,None,155.8440120152144,850.7698341415346,344.1476467833254,6009.6048785344165,-5690.484041356409,74796.06669376121,69105.5826524048
'B8_IV',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.68486279762,894.2924751871682,753.1526743923573,-430.10546875,None,None,None,None,6202.602726580368,None,155.84372893833657,850.7684123002559,344.14756128977166,6009.599232716913,-5690.479508172382,74795.9862054528,69105.50669728042
'B90_IV',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.68486221467,894.2924751861938,753.152674390432,-430.10546875,None,None,None,None,6202.602726612012,None,155.84372893833657,850.7684122987924,344.1475612833772,6009.599232654463,-5690.479508103616,74795.9862048283,69105.50669672468
'B91_IV',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.68486454596,894.292475190091,753.1526743981314,-430.10546875,None,None,None,None,6202.602726575685,None,155.84372893833657,850.7684123046453,344.14756130894955,6009.599232904211,-5690.479508378622,74795.986207416,69105.50669903739
'B92_IV',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.68486454596,894.292475190091,753.1526743981314,-430.10546875,None,None,None,None,6202.602726720714,None,155.84372893833657,850.7684123046452,344.14756130894955,6009.599232904211,-5690.479508378623,74795.98620756104,69105.50669918241
'B93_IV',201.6112060546875,"(2010,2015)",-296.65846972283913,0.49298380381461476,63.868552108110435,60015.56523654665,894.289390869332,753.1502632939367,-430.10390625,None,None,None,None,6202.58019398697,None,155.8431627845809,850.7655686480642,344.14739043533865,6009.587942377648,-5690.470443231115,74795.82524269252,69105.3547994614
'B94_IV',201.6112060546875,"(2010,2015)",-296.65846972283913,0.49298380381461476,63.868552108110435,60015.565229696476,894.2893908578808,753.1502632713134,-430.10390625,None,None,None,None,6202.58019415852,None,155.8431627845809,850.7655686308661,344.14739036019773,6009.587941643798,-5690.4704424230495,74795.82523515365,69105.3547927306
'B95_IV',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.68486221467,894.2924751861938,753.152674390432,-430.10546875,None,None,None,None,6202.602726851214,None,155.84372893833657,850.7684122987924,344.1475612833772,6009.599232654462,-5690.479508103618,74795.9862050675,69105.50669696389
